chrom	start	end	any_strs
1	3556599	3908498	True
1	25395133	26007846	True
1	29061719	29693592	True
1	39462388	40213043	True
1	43274167	43585154	True
1	78399194	78832493	True
1	118028977	118376175	True
1	155044200	155294200	True
1	158022189	158849647	False
1	172263778	172550529	True
1	203518164	204079568	True
1	204752670	205394501	True
1	230170691	230420691	True
1	247896747	248183265	True
2	8615722	8889874	True
2	27473097	27877871	True
2	111711664	111961664	True
2	169188518	169438518	False
2	204670112	204940644	True
2	219146530	219598914	True
2	241385903	241635903	True
3	12110723	12526168	True
3	24209511	24482286	False
3	52771409	53029084	True
3	132002836	132383236	True
3	182424364	182674364	True
3	195500326	196050458	True
3	196341874	196676606	True
4	110711048	111073011	True
4	144901126	145275720	False
4	145930117	146206852	True
5	839611	1246049	True
5	71723312	72528451	True
5	153882478	154574327	True
5	158061302	158327920	True
6	6781752	7052427	True
6	16076587	16431202	True
6	24741495	25103511	True
6	109378021	110263266	True
6	135006878	135943818	True
6	135962922	136321129	True
7	5104115	5397638	True
7	5450520	5705566	True
7	17689284	17939536	True
7	72898880	73148880	True
7	98768768	100676799	True
7	123141379	123566559	True
8	10446591	10701775	True
8	19690256	20064049	True
8	23289369	23606325	True
8	26065212	26405741	True
8	41062481	42049813	True
8	42126867	42582590	True
8	64886523	65136523	False
8	65659121	65909121	False
8	85982836	86527196	True
8	93716708	93966708	False
8	98513243	98895499	True
8	126322308	126632389	True
8	130852495	131486477	True
8	145563534	146032866	True
9	21848422	22106631	True
9	33703734	34087644	True
9	91248903	91732378	True
9	110402349	110671648	True
9	114707919	114960495	True
9	135739436	136309526	True
10	50085710	50506231	True
11	5517983	5767983	False
11	9475426	9936616	True
11	61417006	61803754	True
11	65226364	65476364	True
11	100294500	100696137	True
11	116461283	116830568	True
11	122788984	123116792	True
12	54501772	54751772	True
12	111765228	112015228	True
12	112312514	113111885	True
14	58539909	58981709	True
14	65005757	65777886	True
14	74083345	74429411	False
15	40174200	40437923	True
15	65570431	66439098	True
15	66800163	67050163	True
16	0	1060116	True
16	16008994	16266823	True
16	31345540	31628751	True
16	68666231	68916231	True
16	88622349	89079464	True
16	89193271	89443271	True
16	89527454	89786050	True
17	7251429	7562181	True
17	7987407	8296367	True
17	26703497	27552838	True
17	41629456	42714559	True
17	42748883	42998883	True
17	57240039	57496992	True
17	66306345	66569125	True
17	77900798	78279887	True
18	43590506	43995742	True
19	925874	1203820	True
19	4341006	4644732	True
19	12508014	13248188	True
19	16115962	16365962	True
19	17071470	17446669	True
19	18393778	18820493	True
19	44095733	44403781	True
19	45263500	45555280	True
20	4017839	4295835	True
22	30089447	30488907	True
22	37241762	37644864	True
