chrom	signal_region	start_pos	end_pos	SNPSTR_start_pos	SNPSTR_ID	period	repeat_unit	alleles	reference_allele	total_per_allele_dosages	total_hardcall_alleles	total_hardcall_genotypes	subset_total_per_allele_dosages	subset_total_hardcall_alleles	subset_total_hardcall_genotypes	subset_multiallelicness	subset_heterozygosity	subset_entropy	subset_HWEP	subset_allele_dosage_r2	association_p_value	direction_of_association	Δphenotype_per_additional_repeat_unit	Δphenotype_per_s.d._increase_in_repeat_size	pcausal	mentioned_in_literature	literature_inclusion_url	included_only_due_to_literature	curated	included_only_due_to_curation	nearby_exons	closest_gene	nearby_genes	relation_to_gene	transcribed
1	1_26633044_27529784	26813601	26813617	26813599	STR_17940	1	A	16.0,17.0,18.0	17.0	"{""16.0"": 596831.41, ""17.0"": 377483.24, ""18.0"": 503.32}"	"{""16.0"": 596501, ""17.0"": 377829, ""18.0"": 488}"	"{""[16.0, 16.0]"": 183562, ""[16.0, 17.0]"": 229084, ""[16.0, 18.0]"": 293, ""[17.0, 17.0]"": 74275, ""[17.0, 18.0]"": 195}"	"{""16.0"": 400311.36, ""17.0"": 257993.53, ""18.0"": 353.13}"	"{""16.0"": 399981, ""17.0"": 258331, ""18.0"": 346}"	"{""[16.0, 16.0]"": 121682, ""[16.0, 17.0]"": 156403, ""[16.0, 18.0]"": 214, ""[17.0, 17.0]"": 50898, ""[17.0, 18.0]"": 132}"	0.0005361355806462358	0.4773998179052905	0.972312932481375	0.0992721036320121	"{""16.0"": 1.0, ""17.0"": 1.0, ""18.0"": 0.97}"	4.16e-09	+	0.0033987130838798165	0.0023526046547924194	0.208438	False	NA	NA	False	NA	none	10468:downstream:HMGN2:protein_coding	31923:upstream:RP3-476K8.4:processed_pseudogene,19096:upstream:DHDDS-AS1:lncRNA,10468:downstream:HMGN2:protein_coding,32228:downstream:DPPA2P2:processed_pseudogene,67416:upstream:MIR1976:miRNA,15804:downstream:DHDDS:protein_coding,57382:downstream:LIN28A:protein_coding,42635:upstream:RPS6KA1:protein_coding	intergenic	untranscribed
2	2_20300545_22162414	21266752	21266797	21266752	STR_713617	3	AGC	12.33,15.33,17.33	15.33	"{""12.33"": 318040.36, ""15.33"": 656591.53, ""17.33"": 186.13}"	"{""12.33"": 318282, ""15.33"": 656505, ""17.33"": 31}"	"{""[12.33, 12.33]"": 52813, ""[12.33, 15.33]"": 212646, ""[12.33, 17.33]"": 10, ""[15.33, 15.33]"": 221919, ""[15.33, 17.33]"": 21}"	"{""12.33"": 222091.34, ""15.33"": 436462.38, ""17.33"": 104.28}"	"{""12.33"": 222433, ""15.33"": 436212, ""17.33"": 13}"	"{""[12.33, 12.33]"": 37634, ""[12.33, 15.33]"": 147162, ""[12.33, 17.33]"": 3, ""[15.33, 15.33]"": 144520, ""[15.33, 17.33]"": 10}"	0.00015832192123985437	0.4473476958384306	0.9229321330399102	0.6003241583513371	"{""12.33"": 1.0, ""15.33"": 1.0, ""17.33"": 0.34}"	1.37e-279	-	-0.007359539315766818	-0.01476574887325707	1.0	False	NA	NA	False	NA	329:upstream:21266385:21266423:APOB:protein_coding,329:upstream:21266385:21266423:APOB:protein_coding,0:inside:21266736:21266945:APOB:protein_coding,0:inside:21266736:21266834:APOB:protein_coding	0:inside:APOB:protein_coding	42963:upstream:RP11-116D2.1:lncRNA,19710:downstream:AC010872.1:TEC,50176:downstream:RP11-83B6.1:lncRNA,0:inside:APOB:protein_coding,80043:upstream:TDRD15:protein_coding	CDS:APOB:protein_coding	transcribed;APOB-202:protein_coding:1,APOB-201:protein_coding:1
2	2_20300545_22162414	21389041	21389054	21389041	STR_713697	1	A	14.0,15.0,16.0	14.0	"{""14.0"": 696471.12, ""15.0"": 6732.7, ""16.0"": 271614.23}"	"{""14.0"": 696705, ""15.0"": 5818, ""16.0"": 272295}"	"{""[14.0, 14.0]"": 248983, ""[14.0, 15.0]"": 3841, ""[14.0, 16.0]"": 194898, ""[15.0, 15.0]"": 510, ""[15.0, 16.0]"": 957, ""[16.0, 16.0]"": 38220}"	"{""14.0"": 469983.29, ""15.0"": 1457.6, ""16.0"": 187217.14}"	"{""14.0"": 470205, ""15.0"": 842, ""16.0"": 187611}"	"{""[14.0, 14.0]"": 167634, ""[14.0, 15.0]"": 621, ""[14.0, 16.0]"": 134316, ""[15.0, 15.0]"": 2, ""[15.0, 16.0]"": 217, ""[16.0, 16.0]"": 26539}"	0.0022129844830100984	0.4092360485317268	0.8754710748811696	0.177502900663159	"{""14.0"": 1.0, ""15.0"": 0.81, ""16.0"": 1.0}"	1.4699999999999999e-170	+	0.009078242526705416	0.011579532149019935	1.0	False	NA	NA	False	NA	none	21801:downstream:TDRD15:protein_coding	69626:upstream:RP11-83B6.1:lncRNA,32336:downstream:RP11-79J24.1:processed_pseudogene,21801:downstream:TDRD15:protein_coding,54987:upstream:AC067959.1:lncRNA	intergenic	untranscribed
2	2_64762288_65113266	64929729	64929740	64929727	STR_739564	2	AT	6.0,7.0,8.0	6.0	"{""6.0"": 286666.72, ""7.0"": 687923.3, ""8.0"": 468.49}"	"{""6.0"": 286507, ""7.0"": 688091, ""8.0"": 220}"	"{""[6.0, 6.0]"": 42355, ""[6.0, 7.0]"": 201725, ""[6.0, 8.0]"": 72, ""[7.0, 7.0]"": 243112, ""[7.0, 8.0]"": 142, ""[8.0, 8.0]"": 3}"	"{""6.0"": 192984.08, ""7.0"": 465684.1, ""8.0"": 149.87}"	"{""6.0"": 192900, ""7.0"": 465747, ""8.0"": 11}"	"{""[6.0, 6.0]"": 28155, ""[6.0, 7.0]"": 136589, ""[6.0, 8.0]"": 1, ""[7.0, 7.0]"": 164574, ""[7.0, 8.0]"": 10}"	0.00022748314196916738	0.4142164749251189	0.8726783366918228	0.5094126635395031	"{""6.0"": 1.0, ""7.0"": 1.0, ""8.0"": 0.2}"	1.85e-09	+	0.0040687448772240885	0.002620982514106106	0.131173	False	NA	NA	False	NA	none	0:inside:SERTAD2:protein_coding	86039:downstream:LINC02579:lncRNA,55897:downstream:AC007365.3:lncRNA,36531:downstream:RPS10P9:processed_pseudogene,73498:upstream:AC007365.2:miRNA,0:inside:SERTAD2:protein_coding	intron:SERTAD2:protein_coding	transcribed;SERTAD2-202:processed_transcript:3
2	2_108895264_109443148	109066235	109066247	109066235	STR_761106	1	A	12.0,13.0,14.0	13.0	"{""12.0"": 182894.66, ""13.0"": 771118.41, ""14.0"": 20805.03}"	"{""12.0"": 183183, ""13.0"": 770259, ""14.0"": 21376}"	"{""[12.0, 12.0]"": 17743, ""[12.0, 13.0]"": 143691, ""[12.0, 14.0]"": 4006, ""[13.0, 13.0]"": 304860, ""[13.0, 14.0]"": 16848, ""[14.0, 14.0]"": 261}"	"{""12.0"": 122064.12, ""13.0"": 522250.61, ""14.0"": 14343.27}"	"{""12.0"": 122257, ""13.0"": 521745, ""14.0"": 14656}"	"{""[12.0, 12.0]"": 11509, ""[12.0, 13.0]"": 96532, ""[12.0, 14.0]"": 2707, ""[13.0, 13.0]"": 206806, ""[13.0, 14.0]"": 11601, ""[14.0, 14.0]"": 174}"	0.021776506168603434	0.3375765200678354	0.8394352749530404	0.2190985787295732	"{""12.0"": 1.0, ""13.0"": 0.99, ""14.0"": 0.94}"	4.58e-09	-	-0.003883836108591894	-0.0023325770407171577	0.0646818	False	NA	NA	False	NA	499:downstream:109065647:109065736:GCC2:protein_coding,499:downstream:109065662:109065736:GCC2:protein_coding,499:downstream:109065679:109065736:GCC2:protein_coding,490:downstream:109065687:109065745:GCC2:protein_coding,499:downstream:109065696:109065736:GCC2:protein_coding,90:downstream:109066089:109066145:GCC2:protein_coding,0:inside:109066089:109066475:GCC2:protein_coding,90:downstream:109066089:109066145:GCC2:protein_coding,90:downstream:109066089:109066145:GCC2:protein_coding,90:downstream:109066089:109066145:GCC2:protein_coding,93:upstream:109066340:109066450:GCC2:protein_coding	0:inside:GCC2:protein_coding	81841:downstream:GMCL1P2:processed_pseudogene,25894:downstream:SMIM12P1:processed_pseudogene,95980:downstream:SULT1C2P1:transcribed_unprocessed_pseudogene,60790:downstream:SULT1C4:protein_coding,0:inside:GCC2:protein_coding,57724:downstream:GCC2-AS1:lncRNA,84564:upstream:LIMS1:protein_coding	exon_other:GCC2:protein_coding	transcribed;GCC2-207:retained_intron:3,GCC2-201:protein_coding:5,GCC2-208:processed_transcript:3,GCC2-203:protein_coding:3,GCC2-211:nonsense_mediated_decay:1
2	2_118243673_119017812	118680584	118680595	118680582	STR_766280	1	A	12.0,13.0	12.0	"{""12.0"": 824035.21, ""13.0"": 150782.56}"	"{""12.0"": 824151, ""13.0"": 150667}"	"{""[12.0, 12.0]"": 348451, ""[12.0, 13.0]"": 127249, ""[13.0, 13.0]"": 11709}"	"{""12.0"": 557875.19, ""13.0"": 100782.81}"	"{""12.0"": 557960, ""13.0"": 100698}"	"{""[12.0, 12.0]"": 236333, ""[12.0, 13.0]"": 85294, ""[13.0, 13.0]"": 7702}"	0.0	0.2590203966137923	0.6170096932085922	0.9730293852464488	"{""12.0"": 1.0, ""13.0"": 1.0}"	1.29e-10	+	0.005345983526282738	0.002721725976592633	0.0663715	False	NA	NA	False	NA	none	0:inside:HTR5BP:transcribed_unprocessed_pseudogene	81350:downstream:AC009404.2:lncRNA,11006:downstream:AC009303.3:processed_pseudogene,75726:upstream:RP11-98C1.2:lncRNA,91155:upstream:AC009303.2:TEC,93363:upstream:RN7SL111P:misc_RNA,90631:downstream:DDX18:protein_coding,72378:upstream:AC009303.1:lncRNA,0:inside:HTR5BP:transcribed_unprocessed_pseudogene,0:inside:CCDC93:protein_coding	multigene;intron:HTR5BP:transcribed_unprocessed_pseudogene;intron:CCDC93:protein_coding	transcribed;CCDC93-203:nonsense_mediated_decay:3,HTR5BP-202:processed_transcript:1,CCDC93-201:protein_coding:5,CCDC93-202:protein_coding:1
2	2_202903129_204477252	203255057	203255073	203255053	STR_809633	1	A	14.0,16.0,17.0,18.0	17.0	"{""14.0"": 758.86, ""16.0"": 252757.11, ""17.0"": 721246.3, ""18.0"": 55.59}"	"{""14.0"": 690, ""16.0"": 253866, ""17.0"": 720231, ""18.0"": 31}"	"{""[14.0, 14.0]"": 1, ""[14.0, 16.0]"": 178, ""[14.0, 17.0]"": 510, ""[16.0, 16.0]"": 33987, ""[16.0, 17.0]"": 185707, ""[16.0, 18.0]"": 7, ""[17.0, 17.0]"": 266995, ""[17.0, 18.0]"": 24}"	"{""14.0"": 560.92, ""16.0"": 166456.9, ""17.0"": 491609.88, ""18.0"": 30.3}"	"{""14.0"": 516, ""16.0"": 167132, ""17.0"": 490993, ""18.0"": 17}"	"{""[14.0, 14.0]"": 1, ""[14.0, 16.0]"": 132, ""[14.0, 17.0]"": 382, ""[16.0, 16.0]"": 21392, ""[16.0, 17.0]"": 124210, ""[16.0, 18.0]"": 6, ""[17.0, 17.0]"": 183195, ""[17.0, 18.0]"": 11}"	0.0008976130252725997	0.3799246843391795	0.8264636847345249	0.1736177414849491	"{""14.0"": 0.92, ""16.0"": 1.0, ""17.0"": 1.0, ""18.0"": 0.87}"	3.47e-12	-	-0.004570144857518721	-0.00285617142239488	0.0686687	False	NA	NA	False	NA	none	0:inside:BMPR2:protein_coding	98913:downstream:SNORD11B:snoRNA,97198:downstream:SNORD11:snoRNA,86720:upstream:RP11-686O6.3:lncRNA,56606:downstream:RN7SL753P:misc_RNA,53607:upstream:PIMREGP1:processed_pseudogene,53134:downstream:RP11-686O6.1:lncRNA,32917:upstream:RN7SL40P:misc_RNA,14730:upstream:RP11-686O6.2:lncRNA,86673:downstream:NOP58:protein_coding,0:inside:BMPR2:protein_coding	intron:BMPR2:protein_coding	transcribed;BMPR2-202:protein_coding:1,BMPR2-201:protein_coding:2
2	2_202903129_204477252	203437781	203437848	203437777	STR_809821	1	A	50.0,67.0,68.0,69.0,72.0,76.0	68.0	"{""50.0"": 0.0, ""67.0"": 0.0, ""68.0"": 718723.25, ""69.0"": 548.67, ""72.0"": 253315.73, ""76.0"": 2231.28}"	"{""68.0"": 718991, ""69.0"": 419, ""72.0"": 253434, ""76.0"": 1974}"	"{""[68.0, 68.0]"": 266104, ""[68.0, 69.0]"": 288, ""[68.0, 72.0]"": 185013, ""[68.0, 76.0]"": 1482, ""[69.0, 69.0]"": 2, ""[69.0, 72.0]"": 127, ""[72.0, 72.0]"": 33903, ""[72.0, 76.0]"": 488, ""[76.0, 76.0]"": 2}"	"{""50.0"": 0.0, ""67.0"": 0.0, ""68.0"": 490090.24, ""69.0"": 221.27, ""72.0"": 166797.2, ""76.0"": 1549.87}"	"{""68.0"": 490289, ""69.0"": 143, ""72.0"": 166851, ""76.0"": 1375}"	"{""[68.0, 68.0]"": 182685, ""[68.0, 69.0]"": 110, ""[68.0, 72.0]"": 123770, ""[68.0, 76.0]"": 1039, ""[69.0, 72.0]"": 33, ""[72.0, 72.0]"": 21358, ""[72.0, 76.0]"": 332, ""[76.0, 76.0]"": 2}"	0.0026890107466602804	0.3817296000215675	0.8400756348249121	0.1225508919245594	"{""50.0"": ""NaN"", ""67.0"": ""NaN"", ""68.0"": 1.0, ""69.0"": 0.86, ""72.0"": 1.0, ""76.0"": 0.93}"	1.46e-12	+	0.0011474308093933107	0.0028743002488673414	0.194839	False	NA	NA	False	NA	none	5307:downstream:BMPR2:protein_coding	67715:upstream:H3P8:processed_pseudogene,52069:downstream:RPL13AP12:processed_pseudogene,41089:upstream:MTCO1P17:unprocessed_pseudogene,41728:upstream:MTCO2P17:unprocessed_pseudogene,42644:upstream:MTATP6P17:unprocessed_pseudogene,43575:upstream:MTCO3P17:unprocessed_pseudogene,44159:upstream:MTND3P17:unprocessed_pseudogene,44570:upstream:MTND4LP17:unprocessed_pseudogene,44858:upstream:MTND4P30:unprocessed_pseudogene,46060:downstream:MTCO1P54:processed_pseudogene,61844:upstream:FAM117B:protein_coding,5307:downstream:BMPR2:protein_coding	intergenic	untranscribed
2	2_202903129_204477252	203594057	203594069	203594057	STR_809958	1	A	11.0,12.0,13.0	13.0	"{""11.0"": 3093.44, ""12.0"": 243391.46, ""13.0"": 728333.16}"	"{""11.0"": 2780, ""12.0"": 243327, ""13.0"": 728711}"	"{""[11.0, 11.0]"": 4, ""[11.0, 12.0]"": 691, ""[11.0, 13.0]"": 2081, ""[12.0, 12.0]"": 30694, ""[12.0, 13.0]"": 181248, ""[13.0, 13.0]"": 272691}"	"{""11.0"": 2190.23, ""12.0"": 160468.29, ""13.0"": 495999.48}"	"{""11.0"": 1962, ""12.0"": 160430, ""13.0"": 496266}"	"{""[11.0, 11.0]"": 4, ""[11.0, 12.0]"": 488, ""[11.0, 13.0]"": 1466, ""[12.0, 12.0]"": 19421, ""[12.0, 13.0]"": 121100, ""[13.0, 13.0]"": 186850}"	0.003325291729547049	0.3729770860307013	0.8290130329966383	0.4247925952623728	"{""11.0"": 0.83, ""12.0"": 1.0, ""13.0"": 1.0}"	2.68e-13	-	-0.004813270483653098	-0.003000412088176839	1.0	False	NA	NA	False	NA	none	0:inside:FAM117B:protein_coding	44374:downstream:AC098831.4:processed_pseudogene,0:inside:FAM117B:protein_coding,43804:downstream:ICA1L:protein_coding	intron:FAM117B:protein_coding	transcribed;FAM117B-201:protein_coding:1
2	2_202903129_204477252	204026352	204026406	204026352	STR_810345	4	AAAT	5.75,6.75,8.75,9.75,10.75,11.75,12.75,13.75,14.75,15.75	13.75	"{""5.75"": 0.0, ""6.75"": 0.0, ""8.75"": 3332.09, ""9.75"": 752719.59, ""10.75"": 69940.89, ""11.75"": 57227.42, ""12.75"": 67069.85, ""13.75"": 18615.55, ""14.75"": 5931.41, ""15.75"": 0.0}"	"{""8.75"": 2492, ""9.75"": 762942, ""10.75"": 62691, ""11.75"": 54051, ""12.75"": 69414, ""13.75"": 17984, ""14.75"": 5244}"	"{""[8.75, 8.75]"": 3, ""[8.75, 9.75]"": 1973, ""[8.75, 10.75]"": 152, ""[8.75, 11.75]"": 124, ""[8.75, 12.75]"": 180, ""[8.75, 13.75]"": 43, ""[8.75, 14.75]"": 14, ""[9.75, 9.75]"": 299240, ""[9.75, 10.75]"": 48572, ""[9.75, 11.75]"": 41704, ""[9.75, 12.75]"": 53959, ""[9.75, 13.75]"": 14132, ""[9.75, 14.75]"": 4122, ""[10.75, 10.75]"": 2164, ""[10.75, 11.75]"": 3729, ""[10.75, 12.75]"": 4484, ""[10.75, 13.75]"": 1086, ""[10.75, 14.75]"": 340, ""[11.75, 11.75]"": 1667, ""[11.75, 12.75]"": 3978, ""[11.75, 13.75]"": 929, ""[11.75, 14.75]"": 253, ""[12.75, 12.75]"": 2547, ""[12.75, 13.75]"": 1340, ""[12.75, 14.75]"": 379, ""[13.75, 13.75]"": 182, ""[13.75, 14.75]"": 90, ""[14.75, 14.75]"": 23}"	"{""5.75"": 0.0, ""6.75"": 0.0, ""8.75"": 2215.49, ""9.75"": 508267.61, ""10.75"": 46404.65, ""11.75"": 38533.47, ""12.75"": 46221.66, ""13.75"": 12869.23, ""14.75"": 4156.25, ""15.75"": 0.0}"	"{""8.75"": 1651, ""9.75"": 515160, ""10.75"": 41575, ""11.75"": 36349, ""12.75"": 47831, ""13.75"": 12377, ""14.75"": 3715}"	"{""[8.75, 8.75]"": 3, ""[8.75, 9.75]"": 1309, ""[8.75, 10.75]"": 95, ""[8.75, 11.75]"": 84, ""[8.75, 12.75]"": 117, ""[8.75, 13.75]"": 29, ""[8.75, 14.75]"": 11, ""[9.75, 9.75]"": 201594, ""[9.75, 10.75]"": 32510, ""[9.75, 11.75]"": 28426, ""[9.75, 12.75]"": 37189, ""[9.75, 13.75]"": 9641, ""[9.75, 14.75]"": 2897, ""[10.75, 10.75]"": 1321, ""[10.75, 11.75]"": 2278, ""[10.75, 12.75]"": 3031, ""[10.75, 13.75]"": 777, ""[10.75, 14.75]"": 242, ""[11.75, 11.75]"": 1018, ""[11.75, 12.75]"": 2685, ""[11.75, 13.75]"": 655, ""[11.75, 14.75]"": 185, ""[12.75, 12.75]"": 1786, ""[12.75, 13.75]"": 949, ""[12.75, 14.75]"": 288, ""[13.75, 13.75]"": 131, ""[13.75, 14.75]"": 64, ""[14.75, 14.75]"": 14}"	0.15788840988202318	0.3755691115300261	1.2058009001177066	0.4212696177429413	"{""5.75"": ""NaN"", ""6.75"": ""NaN"", ""8.75"": 0.9, ""9.75"": 0.97, ""10.75"": 0.94, ""11.75"": 0.93, ""12.75"": 0.92, ""13.75"": 0.83, ""14.75"": 0.88, ""15.75"": ""NaN""}"	5.12e-13	-	-0.0018848110790231393	-0.0028651853358578473	0.15509	False	NA	NA	False	NA	none	0:inside:NBEAL1:protein_coding	99226:upstream:AC023271.1:processed_pseudogene,86487:upstream:RPL23AP36:processed_pseudogene,29097:upstream:RPL12P16:transcribed_processed_pseudogene,97921:upstream:RN7SL670P:misc_RNA,77294:upstream:CYP20A1:protein_coding,0:inside:NBEAL1:protein_coding	intron:NBEAL1:protein_coding	transcribed;NBEAL1-222:protein_coding:missing from gencode,NBEAL1-203:protein_coding:5,NBEAL1-211:nonsense_mediated_decay:missing from gencode,NBEAL1-213:protein_coding:missing from gencode,NBEAL1-217:nonsense_mediated_decay:missing from gencode,NBEAL1-219:nonsense_mediated_decay:missing from gencode
