chrom	signal_region	start_pos	end_pos	SNPSTR_start_pos	SNPSTR_ID	period	repeat_unit	alleles	reference_allele	total_per_allele_dosages	total_hardcall_alleles	total_hardcall_genotypes	subset_total_per_allele_dosages	subset_total_hardcall_alleles	subset_total_hardcall_genotypes	subset_multiallelicness	subset_heterozygosity	subset_entropy	subset_HWEP	subset_allele_dosage_r2	association_p_value	direction_of_association	Δphenotype_per_additional_repeat_unit	Δphenotype_per_s.d._increase_in_repeat_size	pcausal	mentioned_in_literature	literature_inclusion_url	included_only_due_to_literature	curated	included_only_due_to_curation	nearby_exons	closest_gene	nearby_genes	relation_to_gene	transcribed
1	1_8250842_9020448	8457649	8457663	8457649	STR_4393	1	A	12.0,13.0,14.0,15.0,16.0	15.0	"{""12.0"": 0.0, ""13.0"": 1195.55, ""14.0"": 415171.61, ""15.0"": 558344.34, ""16.0"": 106.43}"	"{""13.0"": 563, ""14.0"": 415913, ""15.0"": 558314, ""16.0"": 28}"	"{""[13.0, 14.0]"": 228, ""[13.0, 15.0]"": 335, ""[14.0, 14.0]"": 90222, ""[14.0, 15.0]"": 235228, ""[14.0, 16.0]"": 13, ""[15.0, 15.0]"": 161368, ""[15.0, 16.0]"": 15}"	"{""12.0"": 0.0, ""13.0"": 833.19, ""14.0"": 277767.67, ""15.0"": 391483.53, ""16.0"": 77.61}"	"{""13.0"": 407, ""14.0"": 278245, ""15.0"": 391488, ""16.0"": 22}"	"{""[13.0, 14.0]"": 163, ""[13.0, 15.0]"": 244, ""[14.0, 14.0]"": 57812, ""[14.0, 15.0]"": 162448, ""[14.0, 16.0]"": 10, ""[15.0, 15.0]"": 114392, ""[15.0, 16.0]"": 12}"	0.001359074373062036	0.4863626945069589	0.9865516660778828	0.7465681156358528	"{""12.0"": ""NaN"", ""13.0"": 0.78, ""14.0"": 1.0, ""15.0"": 1.0, ""16.0"": 0.84}"	8.4e-21	+	0.0026561181089777702	0.0018623312216262866	0.0577629	False	NA	NA	False	NA	none	0:inside:RERE:protein_coding	69410:downstream:Y_RNA:misc_RNA,27042:upstream:RERE-AS1:lncRNA,0:inside:RERE:protein_coding,53422:downstream:SLC45A1:protein_coding	intron:RERE:protein_coding	transcribed;RERE-212:protein_coding:1,RERE-214:protein_coding:3,RERE-205:processed_transcript:2,RERE-215:processed_transcript:3,RERE-208:processed_transcript:5,RERE-201:protein_coding:1,RERE-204:protein_coding:1,RERE-202:protein_coding:5,RERE-203:protein_coding:5,RERE-219:protein_coding:missing from gencode
1	1_11791233_12388919	12058607	12058632	12058607	STR_7646	5	AAAAC	3.2,4.2,5.2	5.2	"{""3.2"": 248.93, ""4.2"": 657290.38, ""5.2"": 317278.78}"	"{""3.2"": 31, ""4.2"": 647598, ""5.2"": 327189}"	"{""[3.2, 3.2]"": 1, ""[3.2, 4.2]"": 22, ""[3.2, 5.2]"": 7, ""[4.2, 4.2]"": 215458, ""[4.2, 5.2]"": 216660, ""[5.2, 5.2]"": 55261}"	"{""3.2"": 126.27, ""4.2"": 452572.75, ""5.2"": 217462.98}"	"{""4.2"": 445796, ""5.2"": 224366}"	"{""[4.2, 4.2]"": 148337, ""[4.2, 5.2]"": 149122, ""[5.2, 5.2]"": 37622}"	0.0001884171289926913	0.4454137415182735	0.9197492599468586	0.6576441545904644	"{""3.2"": ""NaN"", ""4.2"": 0.99, ""5.2"": 0.99}"	5.26e-12	+	0.001845300247868005	0.0012226642740927776	0.0548597	False	NA	NA	False	NA	105:upstream:12058737:12058935:MFN2:protein_coding,195:upstream:12058827:12059120:MFN2:protein_coding,195:upstream:12058827:12058935:MFN2:protein_coding,195:upstream:12058827:12058935:MFN2:protein_coding,195:upstream:12058827:12058935:MFN2:protein_coding,195:upstream:12058827:12058935:MFN2:protein_coding,195:upstream:12058827:12058935:MFN2:protein_coding,195:upstream:12058827:12058935:MFN2:protein_coding,195:upstream:12058827:12058935:MFN2:protein_coding,195:upstream:12058827:12058935:MFN2:protein_coding,195:upstream:12058827:12058935:MFN2:protein_coding,195:upstream:12058827:12058935:MFN2:protein_coding,195:upstream:12058827:12058935:MFN2:protein_coding,195:upstream:12058827:12058935:MFN2:protein_coding,195:upstream:12058827:12059152:MFN2:protein_coding,195:upstream:12058827:12058935:MFN2:protein_coding,195:upstream:12058827:12058935:MFN2:protein_coding,195:upstream:12058827:12058935:MFN2:protein_coding,195:upstream:12058827:12059152:MFN2:protein_coding,195:upstream:12058827:12058935:MFN2:protein_coding,195:upstream:12058827:12058935:MFN2:protein_coding,195:upstream:12058827:12058935:MFN2:protein_coding,413:upstream:12059045:12059152:MFN2:protein_coding,413:upstream:12059045:12059152:MFN2:protein_coding,413:upstream:12059045:12059152:MFN2:protein_coding,413:upstream:12059045:12059152:MFN2:protein_coding,413:upstream:12059045:12059152:MFN2:protein_coding,413:upstream:12059045:12059152:MFN2:protein_coding,413:upstream:12059045:12059152:MFN2:protein_coding,413:upstream:12059045:12059152:MFN2:protein_coding,413:upstream:12059045:12059152:MFN2:protein_coding,413:upstream:12059045:12059152:MFN2:protein_coding,413:upstream:12059045:12059152:MFN2:protein_coding,413:upstream:12059045:12059152:MFN2:protein_coding,413:upstream:12059045:12059152:MFN2:protein_coding,413:upstream:12059045:12059902:MFN2:protein_coding,413:upstream:12059045:12059152:MFN2:protein_coding,413:upstream:12059045:12059152:MFN2:protein_coding,413:upstream:12059045:12059152:MFN2:protein_coding,413:upstream:12059045:12059152:MFN2:protein_coding,413:upstream:12059045:12059152:MFN2:protein_coding	0:inside:MFN2:protein_coding	84252:downstream:RP5-934G17.7:lncRNA,90279:downstream:RNU5E-1:snRNA,88623:upstream:RNU5E-4P:snRNA,72122:upstream:KIAA2013:protein_coding,18423:upstream:RP5-1077B9.6:lncRNA,18641:downstream:RP5-1077B9.5:processed_pseudogene,25437:downstream:Y_RNA:misc_RNA,38167:downstream:RN7SL649P:misc_RNA,79306:downstream:RNU6-777P:snRNA,89866:downstream:RP11-426M1.3:lncRNA,23012:downstream:PLOD1:protein_coding,20891:upstream:MIIP:protein_coding,81718:downstream:RPL23AP89:processed_pseudogene,0:inside:MFN2:protein_coding,64728:upstream:TNFRSF8:protein_coding	intron:MFN2:protein_coding	transcribed;MFN2-203:protein_coding:2,MFN2-210:protein_coding:missing from gencode,MFN2-213:protein_coding:missing from gencode,MFN2-215:retained_intron:missing from gencode,MFN2-217:protein_coding:missing from gencode,MFN2-225:protein_coding:missing from gencode,MFN2-207:protein_coding:missing from gencode,MFN2-228:retained_intron:missing from gencode,MFN2-226:retained_intron:missing from gencode,MFN2-209:retained_intron:missing from gencode,MFN2-233:nonsense_mediated_decay:missing from gencode,MFN2-208:protein_coding:missing from gencode,MFN2-211:protein_coding:missing from gencode,MFN2-216:protein_coding:missing from gencode,MFN2-229:nonsense_mediated_decay:missing from gencode,MFN2-214:protein_coding:missing from gencode,MFN2-201:protein_coding:1,MFN2-221:nonsense_mediated_decay:missing from gencode,MFN2-230:protein_coding:missing from gencode,MFN2-227:protein_coding:missing from gencode,MFN2-220:processed_transcript:missing from gencode,MFN2-218:retained_intron:missing from gencode
1	1_23488344_24331053	23844965	23844992	23844965	STR_15458	4	AAAT	6.0,7.0,8.0	7.0	"{""6.0"": 523602.41, ""7.0"": 440636.45, ""8.0"": 10579.16}"	"{""6.0"": 522721, ""7.0"": 442736, ""8.0"": 9361}"	"{""[6.0, 6.0]"": 142298, ""[6.0, 7.0]"": 233114, ""[6.0, 8.0]"": 5011, ""[7.0, 7.0]"": 102684, ""[7.0, 8.0]"": 4254, ""[8.0, 8.0]"": 48}"	"{""6.0"": 363841.03, ""7.0"": 298698.93, ""8.0"": 7622.04}"	"{""6.0"": 363212, ""7.0"": 300135, ""8.0"": 6815}"	"{""[6.0, 6.0]"": 98592, ""[6.0, 7.0]"": 162391, ""[6.0, 8.0]"": 3637, ""[7.0, 7.0]"": 67319, ""[7.0, 8.0]"": 3106, ""[8.0, 8.0]"": 36}"	0.011373429111170135	0.5055845873896359	1.0652776512969784	0.3376405679236308	"{""6.0"": 1.0, ""7.0"": 0.99, ""8.0"": 0.94}"	2.94e-14	+	0.0021208515411548752	0.0015635494798488467	0.0573869	False	NA	NA	False	NA	516:downstream:23845508:23845622:E2F2:protein_coding,516:downstream:23845508:23845888:E2F2:protein_coding	0:inside:E2F2:protein_coding	30638:downstream:RP1-150O5.3:lncRNA,39425:downstream:ID3:protein_coding,33904:upstream:ASAP3:protein_coding,57934:downstream:RP1-150O5.4:lncRNA,62993:upstream:MDS2:lncRNA,93724:upstream:TCEA3:protein_coding,0:inside:E2F2:protein_coding	intron:E2F2:protein_coding	transcribed;E2F2-202:processed_transcript:3,E2F2-201:protein_coding:1
1	1_27104369_27417462	27247247	27247280	27247245	STR_18388	1	A	33.0,34.0,35.0,36.0,37.0	34.0	"{""33.0"": 117.62, ""34.0"": 821866.68, ""35.0"": 77137.47, ""36.0"": 53089.82, ""37.0"": 22628.53}"	"{""33.0"": 6, ""34.0"": 823781, ""35.0"": 75249, ""36.0"": 53463, ""37.0"": 22319}"	"{""[33.0, 34.0]"": 4, ""[33.0, 35.0]"": 1, ""[33.0, 36.0]"": 1, ""[34.0, 34.0]"": 348280, ""[34.0, 35.0]"": 63318, ""[34.0, 36.0]"": 45076, ""[34.0, 37.0]"": 18823, ""[35.0, 35.0]"": 2991, ""[35.0, 36.0]"": 4250, ""[35.0, 37.0]"": 1698, ""[36.0, 36.0]"": 1447, ""[36.0, 37.0]"": 1242, ""[37.0, 37.0]"": 278}"	"{""33.0"": 20.97, ""34.0"": 564604.23, ""35.0"": 52007.18, ""36.0"": 37185.12, ""37.0"": 16360.64}"	"{""34.0"": 565456, ""35.0"": 51099, ""36.0"": 37460, ""37.0"": 16147}"	"{""[34.0, 34.0]"": 238610, ""[34.0, 35.0]"": 42961, ""[34.0, 36.0]"": 31654, ""[34.0, 37.0]"": 13621, ""[35.0, 35.0]"": 1996, ""[35.0, 36.0]"": 2908, ""[35.0, 37.0]"": 1238, ""[36.0, 36.0]"": 1002, ""[36.0, 37.0]"": 894, ""[37.0, 37.0]"": 197}"	0.07992909168896498	0.2785499184037621	0.8520262501303181	0.815649184693694	"{""33.0"": ""NaN"", ""34.0"": 0.99, ""35.0"": 0.99, ""36.0"": 1.0, ""37.0"": 0.99}"	1.88e-08	+	0.0012006180925093971	0.001139965604733261	0.0648949	False	NA	NA	False	NA	954:upstream:27248234:27248420:NUDC:protein_coding	0:inside:NUDC:protein_coding	56300:downstream:SFN:protein_coding,42511:downstream:RP1-50O24.6:lncRNA,20289:upstream:GPATCH3:protein_coding,6781:upstream:NR0B2:protein_coding,59376:upstream:RPL12P13:unprocessed_pseudogene,62839:upstream:RPL32P6:processed_pseudogene,65108:downstream:OSTCP2:processed_pseudogene,72903:upstream:TRNP1:protein_coding,84231:downstream:TENT5B:protein_coding,63152:downstream:ZDHHC18:protein_coding,30473:upstream:GPN2:protein_coding,28773:downstream:KDF1:protein_coding,0:inside:NUDC:protein_coding	intron:NUDC:protein_coding	transcribed;NUDC-202:protein_coding:5
1	1_27875422_29076798	28620308	28620323	28620308	STR_19785	1	A	15.0,16.0,17.0,18.0	16.0	"{""15.0"": 2167.85, ""16.0"": 901705.58, ""17.0"": 70491.91, ""18.0"": 452.59}"	"{""15.0"": 1723, ""16.0"": 903202, ""17.0"": 69532, ""18.0"": 361}"	"{""[15.0, 15.0]"": 67, ""[15.0, 16.0]"": 1180, ""[15.0, 17.0]"": 405, ""[15.0, 18.0]"": 4, ""[16.0, 16.0]"": 419211, ""[16.0, 17.0]"": 63294, ""[16.0, 18.0]"": 306, ""[17.0, 17.0]"": 2891, ""[17.0, 18.0]"": 51}"	"{""15.0"": 372.9, ""16.0"": 622056.18, ""17.0"": 47485.69, ""18.0"": 247.23}"	"{""15.0"": 96, ""16.0"": 623030, ""17.0"": 46843, ""18.0"": 193}"	"{""[15.0, 16.0]"": 88, ""[15.0, 17.0]"": 8, ""[16.0, 16.0]"": 289618, ""[16.0, 17.0]"": 43533, ""[16.0, 18.0]"": 173, ""[17.0, 17.0]"": 1641, ""[17.0, 18.0]"": 20}"	0.0009253434244257358	0.1308264847032531	0.3713363279553552	0.9387469693117212	"{""15.0"": 0.74, ""16.0"": 1.0, ""17.0"": 1.0, ""18.0"": 0.95}"	1.6e-11	-	-0.00301983068438391	-0.001112369298896365	0.129148	False	NA	NA	False	NA	none	11306:downstream:SESN2:protein_coding	93156:upstream:AL353354.1:protein_coding,92889:downstream:AL353354.2:protein_coding,46891:downstream:ATP5IF1:protein_coding,52344:upstream:RP5-1092A3.4:lncRNA,99861:upstream:PTAFR:protein_coding,60768:upstream:DNAJC8:protein_coding,11306:downstream:SESN2:protein_coding,35190:upstream:MED18:protein_coding,46229:downstream:RP5-1092A3.5:lncRNA,75770:upstream:PHACTR4:protein_coding	intergenic	untranscribed
1	1_46525118_46798220	46667776	46667791	46667776	STR_32906	1	A	15.0,16.0,17.0	16.0	"{""15.0"": 0.0, ""16.0"": 820388.66, ""17.0"": 154429.4}"	"{""16.0"": 820418, ""17.0"": 154400}"	"{""[16.0, 16.0]"": 345444, ""[16.0, 17.0]"": 129530, ""[17.0, 17.0]"": 12435}"	"{""15.0"": 0.0, ""16.0"": 561271.45, ""17.0"": 108890.55}"	"{""16.0"": 561287, ""17.0"": 108875}"	"{""[16.0, 16.0]"": 235005, ""[16.0, 17.0]"": 91277, ""[17.0, 17.0]"": 8799}"	0.0	0.2721344668256729	0.6401640091312563	0.726833159724916	"{""15.0"": ""NaN"", ""16.0"": 1.0, ""17.0"": 1.0}"	2.5e-08	+	0.0018519573902852256	0.0009661571252892999	0.100844	False	NA	NA	False	NA	none	0:inside:POMGNT1:protein_coding	96929:downstream:RP4-533D7.3:processed_pseudogene,63023:downstream:RP4-533D7.5:lncRNA,25616:upstream:P3R3URF:protein_coding,16142:downstream:TSPAN1:protein_coding,1215:upstream:LURAP1:protein_coding,44342:upstream:RAD54L:protein_coding,59077:downstream:LRRC41:protein_coding,69068:upstream:PIK3R3:protein_coding,25616:upstream:P3R3URF-PIK3R3:protein_coding,0:inside:POMGNT1:protein_coding	intron:POMGNT1:protein_coding	transcribed;POMGNT1-203:protein_coding:2,POMGNT1-202:protein_coding:2
1	1_65049573_65699935	65440770	65440781	65440770	STR_43672	1	A	11.0,12.0,13.0,14.0	12.0	"{""11.0"": 0.0, ""12.0"": 841670.47, ""13.0"": 73789.04, ""14.0"": 59358.51}"	"{""12.0"": 841679, ""13.0"": 73886, ""14.0"": 59253}"	"{""[12.0, 12.0]"": 364682, ""[12.0, 13.0]"": 61107, ""[12.0, 14.0]"": 51208, ""[13.0, 13.0]"": 4213, ""[13.0, 14.0]"": 4353, ""[14.0, 14.0]"": 1846}"	"{""11.0"": 0.0, ""12.0"": 586948.34, ""13.0"": 43093.0, ""14.0"": 40120.66}"	"{""12.0"": 586971, ""13.0"": 43161, ""14.0"": 40030}"	"{""[12.0, 12.0]"": 257021, ""[12.0, 13.0]"": 37890, ""[12.0, 14.0]"": 35039, ""[13.0, 13.0]"": 1361, ""[13.0, 14.0]"": 2549, ""[14.0, 14.0]"": 1221}"	0.0598671067592612	0.225145907773694	0.6651417752581021	0.8816350975071874	"{""11.0"": ""NaN"", ""12.0"": 0.99, ""13.0"": 1.0, ""14.0"": 0.99}"	1.5299999999999999e-24	+	0.0029210316015866903	0.0021461188262887165	0.992715	False	NA	NA	False	NA	372:upstream:65439341:65440398:LINC01359:lncRNA,372:upstream:65440258:65440398:LINC01359:lncRNA,372:upstream:65440258:65440398:LINC01359:lncRNA,372:upstream:65440294:65440398:LINC01359:lncRNA,372:upstream:65440294:65440398:LINC01359:lncRNA,372:upstream:65440294:65440398:LINC01359:lncRNA,372:upstream:65440294:65440398:LINC01359:lncRNA,372:upstream:65440294:65440398:LINC01359:lncRNA,372:upstream:65440298:65440398:LINC01359:lncRNA	0:inside:JAK1:protein_coding	56404:downstream:RP11-182I10.1:processed_pseudogene,32722:downstream:RP11-182I10.2:processed_pseudogene,9510:downstream:SLC2A3P2:processed_pseudogene,28372:downstream:RP4-535B20.4:lncRNA,47870:downstream:RNU6-1176P:snRNA,82657:downstream:MIR3671:miRNA,83336:downstream:MIR101-1:miRNA,91529:downstream:RP4-535B20.1:lincRNA,0:inside:LINC01359:lncRNA,0:inside:JAK1:protein_coding	multigene;intron:LINC01359:lncRNA;intron:JAK1:protein_coding	transcribed;LINC01359-204:lncRNA:2,LINC01359-208:retained_intron:5,LINC01359-209:retained_intron:5,LINC01359-205:lncRNA:5,LINC01359-218:lncRNA:missing from gencode,LINC01359-211:lncRNA:missing from gencode,LINC01359-206:lncRNA:5,LINC01359-214:lncRNA:missing from gencode,LINC01359-210:lncRNA:missing from gencode,JAK1-212:protein_coding:missing from gencode,JAK1-208:protein_coding:missing from gencode,JAK1-221:protein_coding:missing from gencode,JAK1-214:protein_coding:missing from gencode,JAK1-209:protein_coding:missing from gencode
1	1_92864743_93115386	92990386	92990403	92990386	STR_57495	1	A	17.0,18.0,19.0,20.0	18.0	"{""17.0"": 1038.45, ""18.0"": 822072.69, ""19.0"": 149797.89, ""20.0"": 1909.06}"	"{""17.0"": 786, ""18.0"": 820864, ""19.0"": 151420, ""20.0"": 1748}"	"{""[17.0, 17.0]"": 8, ""[17.0, 18.0]"": 684, ""[17.0, 19.0]"": 84, ""[17.0, 20.0]"": 2, ""[18.0, 18.0]"": 346537, ""[18.0, 19.0]"": 125661, ""[18.0, 20.0]"": 1445, ""[19.0, 19.0]"": 12689, ""[19.0, 20.0]"": 297, ""[20.0, 20.0]"": 2}"	"{""17.0"": 209.44, ""18.0"": 564639.89, ""19.0"": 104064.57, ""20.0"": 1248.1}"	"{""17.0"": 95, ""18.0"": 563732, ""19.0"": 105149, ""20.0"": 1186}"	"{""[17.0, 18.0]"": 78, ""[17.0, 19.0]"": 15, ""[17.0, 20.0]"": 2, ""[18.0, 18.0]"": 237689, ""[18.0, 19.0]"": 87276, ""[18.0, 20.0]"": 1000, ""[19.0, 19.0]"": 8838, ""[19.0, 20.0]"": 182, ""[20.0, 20.0]"": 1}"	0.002174906962794071	0.2677822975922478	0.6471190401086965	4.392194917014583e-06	"{""17.0"": 0.78, ""18.0"": 0.99, ""19.0"": 0.99, ""20.0"": 0.79}"	3.42e-08	-	-0.002011138124412698	-0.0010560320710227388	0.259788	False	NA	NA	False	NA	none	0:inside:EVI5:protein_coding	55630:downstream:RP4-593M8.1:processed_pseudogene,37904:upstream:GFI1:protein_coding,0:inside:EVI5:protein_coding	intron:EVI5:protein_coding	transcribed;EVI5-201:protein_coding:1,EVI5-208:protein_coding:1,EVI5-209:protein_coding:missing from gencode
1	1_93413949_94050862	93578774	93578790	93578770	STR_57966	1	A	16.0,17.0,18.0,19.0,20.0	17.0	"{""16.0"": 0.0, ""17.0"": 668140.35, ""18.0"": 141470.05, ""19.0"": 165112.37, ""20.0"": 99.41}"	"{""17.0"": 668650, ""18.0"": 140827, ""19.0"": 165338, ""20.0"": 3}"	"{""[17.0, 17.0]"": 229631, ""[17.0, 18.0]"": 96565, ""[17.0, 19.0]"": 112821, ""[17.0, 20.0]"": 2, ""[18.0, 18.0]"": 10420, ""[18.0, 19.0]"": 23422, ""[19.0, 19.0]"": 14547, ""[19.0, 20.0]"": 1}"	"{""16.0"": 0.0, ""17.0"": 458507.07, ""18.0"": 96097.59, ""19.0"": 115504.83, ""20.0"": 55.68}"	"{""17.0"": 458849, ""18.0"": 95660, ""19.0"": 115652, ""20.0"": 1}"	"{""[17.0, 17.0]"": 157263, ""[17.0, 18.0]"": 65410, ""[17.0, 19.0]"": 78913, ""[18.0, 18.0]"": 6914, ""[18.0, 19.0]"": 16422, ""[19.0, 19.0]"": 10158, ""[19.0, 20.0]"": 1}"	0.14347697299756715	0.4810515514424058	1.2125196129205214	0.1239007468423909	"{""16.0"": ""NaN"", ""17.0"": 1.0, ""18.0"": 0.99, ""19.0"": 1.0, ""20.0"": 0.13}"	1.56e-18	-	-0.0015407273034711531	-0.0016808315383781771	0.497162	False	NA	NA	False	NA	none	0:inside:MTF2:protein_coding	86675:downstream:RN7SKP123:misc_RNA,85711:upstream:Y_RNA:misc_RNA,77507:downstream:RP4-612C19.1:processed_pseudogene,86522:downstream:RP4-612C19.2:processed_pseudogene,36509:downstream:TMED5:protein_coding,0:inside:MTF2:protein_coding,66686:upstream:CCDC18:protein_coding	intron:MTF2:protein_coding	transcribed;MTF2-207:processed_transcript:5,MTF2-206:processed_transcript:5,MTF2-211:processed_transcript:5,MTF2-214:protein_coding:2,MTF2-213:protein_coding:2,MTF2-201:protein_coding:1,MTF2-205:processed_transcript:2,MTF2-202:protein_coding:1,MTF2-203:processed_transcript:1,MTF2-212:processed_transcript:5
1	1_93413949_94050862	93656646	93656661	93656644	STR_58026	1	A	13.0,14.0,15.0,16.0,17.0,18.0	16.0	"{""13.0"": 0.0, ""14.0"": 592224.56, ""15.0"": 206339.4, ""16.0"": 163995.74, ""17.0"": 12258.21, ""18.0"": 0.0}"	"{""14.0"": 592622, ""15.0"": 206020, ""16.0"": 164693, ""17.0"": 11483}"	"{""[14.0, 14.0]"": 182796, ""[14.0, 15.0]"": 121049, ""[14.0, 16.0]"": 98919, ""[14.0, 17.0]"": 7062, ""[15.0, 15.0]"": 23813, ""[15.0, 16.0]"": 35073, ""[15.0, 17.0]"": 2272, ""[16.0, 16.0]"": 14360, ""[16.0, 17.0]"": 1981, ""[17.0, 17.0]"": 84}"	"{""13.0"": 0.0, ""14.0"": 412995.49, ""15.0"": 133631.69, ""16.0"": 114861.44, ""17.0"": 8673.38, ""18.0"": 0.0}"	"{""14.0"": 413283, ""15.0"": 133392, ""16.0"": 115341, ""17.0"": 8146}"	"{""[14.0, 14.0]"": 127720, ""[14.0, 15.0]"": 82116, ""[14.0, 16.0]"": 70694, ""[14.0, 17.0]"": 5033, ""[15.0, 15.0]"": 13271, ""[15.0, 16.0]"": 23149, ""[15.0, 17.0]"": 1585, ""[16.0, 16.0]"": 10039, ""[16.0, 17.0]"": 1420, ""[17.0, 17.0]"": 54}"	0.18433575762278376	0.5503039974605772	1.4078623189709458	0.1658696969294171	"{""13.0"": ""NaN"", ""14.0"": 1.0, ""15.0"": 1.0, ""16.0"": 0.99, ""17.0"": 0.89, ""18.0"": ""NaN""}"	9.05e-18	-	-0.0013987138690812802	-0.0016117127024018257	0.123129	False	NA	NA	False	NA	29:upstream:93656297:93656617:RP4-612C19.1:processed_pseudogene,896:upstream:93657557:93657663:CCDC18:protein_coding,896:upstream:93657557:93657663:CCDC18:protein_coding,896:upstream:93657557:93657663:CCDC18:protein_coding,896:upstream:93657557:93657663:CCDC18:protein_coding,896:upstream:93657557:93657663:CCDC18:protein_coding	0:inside:CCDC18:protein_coding	29:upstream:RP4-612C19.1:processed_pseudogene,8651:downstream:RP4-612C19.2:processed_pseudogene,87857:downstream:RP4-717I23.2:processed_pseudogene,10573:upstream:TMED5:protein_coding,71082:downstream:CCDC18-AS1:lncRNA,52010:downstream:MTF2:protein_coding,0:inside:CCDC18:protein_coding	intron:CCDC18:protein_coding	transcribed;CCDC18-208:nonsense_mediated_decay:3,CCDC18-209:nonsense_mediated_decay:5,CCDC18-201:protein_coding:5,CCDC18-203:protein_coding:1,CCDC18-202:protein_coding:5
