chrom	start	fraction_concordant_seq	fraction_concordant_len	fraction_concordant_len_sum	balanced_accuracy	len_sum_frequencies	len_sum_accuracies	mean_absolute_difference	r	dosage_r	numcalls	n_missing_only_vcf1	n_missing_only_vcf2	n_missing_both
1	3086622	0.9830145425194147	0.9858739932155803	0.9858739932155803	0.9865735548613023	{40.0: 0.4297253634894992, 41.0: 0.39579967689822293, 42.0: 0.09208400646203554, 44.0: 0.051696284329563816, 45.0: 0.030694668820678513}	{40.0: 0.982086870007049, 41.0: 0.9905726530114, 42.0: 0.9784210606625204, 44.0: 0.9928187429904938, 45.0: 0.9889684476350483}	0.021774472565681113	0.9838904033311697	0.996657561577431	619	0	0	0
1	11868271	0.35295770051348413	0.35297631303453386	0.38781506121839365	0.29915278583955013	{82.0: 0.021996615905245348, 88.0: 0.00338409475465313, 90.0: 0.00338409475465313, 92.0: 0.011844331641285956, 94.0: 0.07614213197969544, 96.0: 0.025380710659898477, 98.0: 0.05752961082910321, 100.0: 0.04060913705583756, 102.0: 0.015228426395939087, 104.0: 0.047377326565143825, 106.0: 0.1218274111675127, 108.0: 0.08460236886632826, 110.0: 0.18612521150592218, 112.0: 0.13028764805414553, 114.0: 0.06598984771573604, 116.0: 0.07106598984771574, 118.0: 0.028764805414551606, 120.0: 0.00338409475465313, 122.0: 0.005076142131979695}	{82.0: 0.9877769450249616, 88.0: 0.0, 90.0: 0.0, 92.0: 0.13659999359931266, 94.0: 0.7039355082267623, 96.0: 0.06996000252353649, 98.0: 0.5905146974084132, 100.0: 0.2309000178744706, 102.0: 0.005511111269394557, 104.0: 0.10326427835700866, 106.0: 0.6607611163037492, 108.0: 0.15086600268259642, 110.0: 0.5038963277231563, 112.0: 0.24276234112776715, 114.0: 0.3043103060947779, 116.0: 0.26022856576102116, 118.0: 0.04058235533097212, 120.0: 0.6883000284433365, 122.0: 0.0037333332002162933}	1.9867705451524647	0.927059658462008	0.945021581523511	591	28	0	0
1	21822677	0.5506487719393066	0.5520338294262742	0.5584057505557579	0.2915830693168841	{88.0: 0.006568144499178982, 90.0: 0.2857142857142857, 92.0: 0.03940886699507389, 94.0: 0.0049261083743842365, 96.0: 0.0016420361247947454, 98.0: 0.16748768472906403, 100.0: 0.03776683087027915, 102.0: 0.024630541871921183, 104.0: 0.15270935960591134, 106.0: 0.0722495894909688, 108.0: 0.03776683087027915, 110.0: 0.022988505747126436, 112.0: 0.060755336617405585, 114.0: 0.024630541871921183, 116.0: 0.008210180623973728, 118.0: 0.034482758620689655, 120.0: 0.009852216748768473, 122.0: 0.008210180623973728}	{88.0: 0.0002249999397463398, 90.0: 0.8429499614191638, 92.0: 0.10420417221879082, 94.0: 0.0010666666397204, 96.0: 0.06920000199170318, 98.0: 0.7893195813118713, 100.0: 0.17628696190102186, 102.0: 0.12330000158395461, 104.0: 0.4341763351599232, 106.0: 0.5202295417994637, 108.0: 0.222434787808553, 110.0: 0.22415000398177654, 112.0: 0.454035127296339, 114.0: 0.2852133320993744, 116.0: 0.11033999474020674, 118.0: 0.4084571160922115, 120.0: 0.2629666609476165, 122.0: 0.2199400007724762}	2.419303339412975	0.8517135936540179	0.907435985589739	609	10	0	0
1	21826946	0.8533035915274781	0.8533035915274781	0.8540075066669667	0.5744473051853859	{28.0: 0.5285481239804242, 29.0: 0.27732463295269166, 30.0: 0.14192495921696574, 31.0: 0.03425774877650897, 32.0: 0.013050570962479609, 33.0: 0.004893964110929853}	{28.0: 0.99282987618152, 29.0: 0.7598265030804803, 30.0: 0.6890494138344951, 31.0: 0.3593904745011103, 32.0: 0.6455875635147095, 33.0: 0.0}	0.1769128873291274	0.8672421355256921	0.9246694447617555	613	6	0	0
1	21935885	0.91461656160986	0.91461656160986	0.91461656160986	0.9127944582182564	{26.0: 0.3051948051948052, 27.0: 0.4902597402597403, 28.0: 0.20454545454545456}	{26.0: 0.9411468505859375, 27.0: 0.9091840832438689, 28.0: 0.8880524408249627}	0.08843571223368091	0.9059789745367098	0.9436384111689398	616	3	0	0
1	22015711	0.9511285745660785	0.9511285745660785	0.9511285745660785	0.7794157817065183	{22.0: 0.8961038961038961, 23.0: 0.10064935064935066, 24.0: 0.003246753246753247}	{22.0: 0.968103797795872, 23.0: 0.8126935508522776, 24.0: 0.557449996471405}	0.048998376373509185	0.7819282582092031	0.8674258078459971	616	3	0	0
1	23747997	0.9972933550128288	0.9972933550128288	0.9972933550128288	0.9971450344915382	{22.0: 0.30307941653160453, 23.0: 0.473257698541329, 24.0: 0.22366288492706646}	{22.0: 0.9921925590637533, 23.0: 0.9993150789443762, 24.0: 0.9999274654664855}	0.0027066450324543484	0.9974033133976549	0.9982305513338964	617	2	0	0
1	23817932	0.9513338236259845	0.9513338236259845	0.9514746366374074	0.9328682535353664	{28.0: 0.3056910569105691, 29.0: 0.3333333333333333, 30.0: 0.25203252032520324, 31.0: 0.0959349593495935, 32.0: 0.013008130081300813}	{28.0: 0.973569118437615, 29.0: 0.9642009623893877, 30.0: 0.9183283760663001, 31.0: 0.9344677721481708, 32.0: 0.8737750386353582}	0.05215154504866057	0.9719428674434654	0.986606046311929	615	4	0	0
1	23818460	0.8048124630098485	0.804846133042668	0.8053143149999925	0.49109860571603414	{55.0: 0.06734006734006734, 56.0: 0.006734006734006734, 57.0: 0.003367003367003367, 61.0: 0.0016835016835016834, 62.0: 0.6599326599326599, 63.0: 0.23737373737373738, 64.0: 0.02356902356902357}	{55.0: 0.13082999587059022, 56.0: 0.09829999692738056, 57.0: 0.0, 61.0: 0.9300000071525574, 62.0: 0.8587650523463987, 63.0: 0.907773748299244, 64.0: 0.5120214394160679}	0.9041050760008711	0.17485300709609733	0.3490995783456826	594	25	0	0
1	26844613	0.9228951492381392	0.9250048538794894	0.925005275820407	0.6373420362759382	{45.0: 0.002109704641350211, 47.0: 0.023206751054852322, 48.0: 0.1160337552742616, 49.0: 0.3881856540084388, 50.0: 0.4472573839662447, 51.0: 0.023206751054852322}	{45.0: 0.0, 47.0: 0.9972727298736572, 48.0: 0.9238181721080434, 49.0: 0.9555461900106267, 50.0: 0.9474151256633018, 51.0: 0.0}	0.07514599105521284	0.9446313613044531	0.9484308206140697	474	145	0	0
