chrom	start	end
1	23556232	23942932
1	26808591	27493126
1	39425608	40552975
1	62775811	63308069
1	65948952	66279414
1	71272835	71565217
1	72712239	72962239
1	93414383	94132922
1	109675321	109947166
1	110047236	110649333
1	145304470	146095635
1	146760295	147539237
1	149650372	151261355
1	161338331	161739490
1	178249117	178802805
1	181922932	182334086
1	183614363	183864363
1	205552148	205863327
1	212283780	212674357
1	219497072	219922675
1	219976499	220226499
1	220809077	221236780
1	224315659	224565659
1	227931868	228213833
1	229858791	230697666
1	234715803	235220444
2	101933	411756
2	3507442	3773186
2	20224503	20518183
2	20786123	21671793
2	48828740	49126083
2	65151049	65472584
2	85396105	85680478
2	100607446	100921850
2	121222612	121472612
2	128462317	128720140
2	135373924	137132429
2	142727708	142998340
2	165376849	165918561
2	173791114	174181793
2	178000896	178250896
2	203188648	204161012
2	211415507	211875298
2	219155499	220250168
2	220253142	220503142
2	226715831	227504213
2	232460325	232710325
2	242112902	242520674
3	11888353	12863605
3	15409172	16095334
3	46632860	47050539
3	47058356	49086019
3	49428531	50981216
3	51629781	53299745
3	71395890	71809845
3	86912543	87162543
3	119401654	119947183
3	131507210	131771516
3	133353557	133626631
3	135673658	136802064
3	149941540	150247664
3	153050351	153364239
3	153699235	154213411
3	156666209	156938672
3	185604753	186056174
4	783763	1108809
4	24473578	24723578
4	25881133	26253148
4	39545948	39913949
4	55359718	55681235
4	69184117	69661844
4	87343625	88328875
4	89508692	89893821
4	99658252	100416479
4	102102302	104503012
4	109525804	109775804
4	109970620	110763824
4	110798917	111112437
4	124368092	124618092
4	146220435	146528165
4	157493027	157743027
5	1157319	1409135
5	43690578	43949517
5	52596445	52848007
5	53158630	53534920
5	55645154	56008157
5	74809009	75198694
5	78295193	78547570
5	82685884	82940170
5	118586834	118881245
5	127220966	127649018
5	134307390	134569982
5	135325333	135660524
5	149064997	149336868
5	152930075	153618151
5	155726871	155976871
5	157860730	158155813
5	175156132	175406132
5	180142079	180602253
6	20356678	20606678
6	33418409	33866371
6	33942732	35514093
6	41578041	42135597
6	42637145	43080749
6	43631169	43919144
6	79450669	79700669
6	98422979	98716622
6	109035380	109776220
6	116180917	116671924
6	127155471	127657807
6	136957948	137328746
6	139680476	139969429
6	140490204	140740204
6	143119295	143372161
6	153273477	153769070
6	160508223	161340570
6	163611204	163870208
7	852126	1353712
7	6248679	6620017
7	12122310	12409378
7	17159577	17412998
7	17604429	18166218
7	26184883	26546428
7	36045883	36335924
7	38080312	38405224
7	50133234	50449234
7	72686587	73206694
7	94828913	95182510
7	99995487	100284567
7	106661142	107297115
7	130294268	130593190
7	150083971	150785239
8	4670928	4920928
8	8975576	9916920
8	10473344	10758928
8	11478340	11729910
8	12492942	12757903
8	17015164	17265164
8	19126679	20631168
8	25339656	25589690
8	34255276	34547967
8	64497944	64994190
8	70879353	71472626
8	72270582	72592870
8	103692865	104080366
8	105767972	106107777
8	106466207	106716802
8	116284058	116944893
8	121732366	122045361
8	126294938	126775058
8	144120875	144641686
9	907567	1165986
9	15153699	15455108
9	19087560	19518285
9	86356873	86718314
9	93824075	94258281
9	104811664	105061664
9	106108904	108030414
9	108623099	108873099
9	116973650	117281455
9	136012065	136464755
10	17134139	17390447
10	33481189	33772091
10	33826730	34140681
10	45701367	46414252
10	64753118	65465897
10	80815740	81281754
10	88383480	88636337
10	93425939	93689477
10	93715543	94971093
10	95161954	95471805
10	99637693	99897885
10	101787064	102152662
10	107087061	107337061
10	113758047	114175642
10	114561319	114821813
10	115656637	115939806
11	2811657	3151861
11	10251420	10511083
11	14039041	15245965
11	27352864	27873493
11	45587502	50907333
11	50967968	51718456
11	54570707	57239236
11	61396318	61847645
11	62210181	62511648
11	63718031	64297207
11	64667254	66860215
11	67280020	67533885
11	68437328	68914606
11	75319605	75700832
11	95173828	95446682
11	102232848	102482848
11	103735839	103996404
11	109834102	110226670
11	111720332	111970332
11	114788567	115038567
11	116150874	117616209
11	118283339	118572156
11	118776614	119314132
11	121675971	121947656
11	122344387	122713584
11	126093153	126441025
12	6538388	6859885
12	8957581	9270677
12	20267267	20739084
12	21666582	22014213
12	26895853	27189785
12	51020082	51415002
12	53638981	53888981
12	56243078	56734885
12	57123603	58547642
12	67518414	67849774
12	93843256	94114683
12	106611097	107380547
12	109536672	110184431
12	110197837	110456967
12	110708699	113328049
12	121054939	121820826
12	122084033	125601793
13	30847353	31097353
13	41564067	41814067
13	49379810	49661705
13	50686220	51144767
13	53661358	53911358
13	56029827	56279827
13	108835380	109085385
13	113802208	114052208
14	69024372	69439059
14	73979587	74375126
14	75061010	75512256
14	81510888	81845146
14	100561816	100811816
14	103116799	103506882
14	105123660	105402209
15	31512569	31778646
15	40744975	41561999
15	41593332	42846845
15	42974550	45072434
15	57745164	57995164
15	58062646	59831971
15	63198880	63617027
15	63706984	64298007
15	74495146	74837937
15	75109256	75590051
16	14375407	15712593
16	28014077	28377341
16	29799422	30270785
16	53673319	53956771
16	54879567	55218616
16	55618308	57736155
16	66298900	69875101
16	71427257	71694229
16	81324060	81678070
16	85823723	86076748
16	87826310	88242987
17	339962	742869
17	7312958	7732019
17	7929759	8215908
17	17297608	17792240
17	26503747	26848666
17	27766864	28026537
17	28406882	29018167
17	29065388	29384899
17	29522358	29772358
17	37240138	38670193
17	40441463	42498124
17	42542228	42792228
17	43953618	44203618
17	45999326	46444476
17	46730106	47170009
17	66558745	67026366
17	76232378	76569522
18	19533460	20228378
18	20942489	21290409
18	40560060	40810060
18	46182606	48190975
18	55993358	56243358
18	57596198	58214477
19	3289088	3539088
19	3903783	4192225
19	7763875	8789037
19	10582460	10832460
19	11129911	11588882
19	33659657	34149433
19	41607423	41895231
19	44028100	44278100
19	45007698	46678641
19	47434074	47744560
19	49969423	50246274
19	52179069	52588298
19	54608630	54962635
20	430352	696467
20	17471155	17725114
20	21759693	22046864
20	32389092	33969938
20	42646647	43357080
20	43927338	45078649
20	45469711	45729240
20	46213017	46655881
20	52453622	52703622
20	55711040	55961040
20	57334868	57591093
21	16286667	16557295
21	16742872	16992872
21	36217073	36476891
21	46095339	46419986
21	46729111	47046021
22	21622094	22124292
22	30077774	31056307
22	38380347	39277412
