chrom	signal_region	start_pos	end_pos	SNPSTR_start_pos	SNPSTR_ID	period	repeat_unit	alleles	reference_allele	total_per_allele_dosages	total_hardcall_alleles	total_hardcall_genotypes	subset_total_per_allele_dosages	subset_total_hardcall_alleles	subset_total_hardcall_genotypes	subset_multiallelicness	subset_heterozygosity	subset_entropy	subset_HWEP	subset_allele_dosage_r2	association_p_value	Δphenotype_per_additional_repeat_unit	Δphenotype_per_s.d._increase_in_repeat_size	pcausal	mentioned_in_literature	literature_inclusion_url	included_only_due_to_literature	curated	included_only_due_to_curation	nearby_exons	nearby_genes	relation_to_gene	transcribed
1	1_23477267_23953607	23747997	23748008	23747997	STR_15368	1	A	11.0,12.0	12.0	"{""11.0"": 691216.19, ""12.0"": 283601.78}"	"{""11.0"": 691652, ""12.0"": 283166}"	"{""[11.0, 11.0]"": 246522, ""[11.0, 12.0]"": 198608, ""[12.0, 12.0]"": 42279}"	"{""11.0"": 440822.69, ""12.0"": 173315.31}"	"{""11.0"": 441036, ""12.0"": 173102}"	"{""[11.0, 11.0]"": 158494, ""[11.0, 12.0]"": 124048, ""[12.0, 12.0]"": 24527}"	0.0	0.4048313915464725	0.8579751648976252	0.3335955216257733	"{""11.0"": 1.0, ""12.0"": 1.0}"	5.65e-16	-0.0021123163663880895	-0.0013444926297339337	0.334164	False	NA	NA	False	NA	none	49665:downstream:ZNF436-AS1:lncRNA,51158:downstream:Y_RNA:misc_RNA,42475:upstream:RP5-1057J7.7:lncRNA,9358:downstream:RP4-654C18.1:processed_pseudogene,77168:upstream:HNRNPR:protein_coding,51668:upstream:ZNF436:protein_coding,7048:downstream:ASAP3:protein_coding,0:inside:TCEA3:protein_coding,84922:downstream:E2F2:protein_coding	intron:TCEA3:protein_coding	transcribed;TCEA3-201:protein_coding:1,TCEA3-203:protein_coding:1,TCEA3-205:protein_coding:3
1	1_23477267_23953607	23817932	23817947	23817932	STR_15426	1	T	11.0,13.0,14.0,15.0,16.0,17.0	16.0	"{""11.0"": 0.0, ""13.0"": 42723.92, ""14.0"": 674655.1, ""15.0"": 172981.91, ""16.0"": 81540.37, ""17.0"": 2923.91}"	"{""13.0"": 42653, ""14.0"": 674818, ""15.0"": 173166, ""16.0"": 83352, ""17.0"": 829}"	"{""[13.0, 13.0]"": 974, ""[13.0, 14.0]"": 29161, ""[13.0, 15.0]"": 7847, ""[13.0, 16.0]"": 3677, ""[13.0, 17.0]"": 20, ""[14.0, 14.0]"": 236874, ""[14.0, 15.0]"": 115341, ""[14.0, 16.0]"": 56042, ""[14.0, 17.0]"": 526, ""[15.0, 15.0]"": 16925, ""[15.0, 16.0]"": 15940, ""[15.0, 17.0]"": 188, ""[16.0, 16.0]"": 3806, ""[16.0, 17.0]"": 81, ""[17.0, 17.0]"": 7}"	"{""11.0"": 0.0, ""13.0"": 26459.2, ""14.0"": 434666.0, ""15.0"": 102152.41, ""16.0"": 49305.85, ""17.0"": 1558.5}"	"{""13.0"": 26427, ""14.0"": 434798, ""15.0"": 102151, ""16.0"": 50480, ""17.0"": 282}"	"{""[13.0, 13.0]"": 564, ""[13.0, 14.0]"": 18611, ""[13.0, 15.0]"": 4504, ""[13.0, 16.0]"": 2173, ""[13.0, 17.0]"": 11, ""[14.0, 14.0]"": 154134, ""[14.0, 15.0]"": 72043, ""[14.0, 16.0]"": 35675, ""[14.0, 17.0]"": 201, ""[15.0, 15.0]"": 8522, ""[15.0, 16.0]"": 8511, ""[15.0, 17.0]"": 49, ""[16.0, 16.0]"": 2050, ""[16.0, 17.0]"": 21}"	0.1259050106265333	0.4624883957518735	1.2798606435954294	0.4332737882654548	"{""11.0"": ""NaN"", ""13.0"": 1.0, ""14.0"": 1.0, ""15.0"": 1.0, ""16.0"": 0.99, ""17.0"": 0.37}"	2.95e-16	-0.0013840951044310655	-0.0013397297293494899	0.663219	False	NA	NA	False	NA	none	79293:downstream:RP4-654C18.1:processed_pseudogene,57683:downstream:RP1-150O5.3:lncRNA,66470:downstream:ID3:protein_coding,6871:upstream:ASAP3:protein_coding,84979:downstream:RP1-150O5.4:lncRNA,90038:upstream:MDS2:lncRNA,66691:upstream:TCEA3:protein_coding,14983:downstream:E2F2:protein_coding	intergenic	untranscribed
1	1_91405001_91669957	91538461	91538476	91538459	STR_56450	1	A	12.0,13.0,14.0,15.0,16.0,17.0	16.0	"{""12.0"": 0.0, ""13.0"": 89489.84, ""14.0"": 105870.89, ""15.0"": 13561.15, ""16.0"": 762543.85, ""17.0"": 3352.48}"	"{""13.0"": 89030, ""14.0"": 106095, ""15.0"": 12860, ""16.0"": 765636, ""17.0"": 1197}"	"{""[13.0, 13.0]"": 4949, ""[13.0, 14.0]"": 9170, ""[13.0, 15.0]"": 1631, ""[13.0, 16.0]"": 68223, ""[13.0, 17.0]"": 108, ""[14.0, 14.0]"": 5871, ""[14.0, 15.0]"": 1310, ""[14.0, 16.0]"": 83753, ""[14.0, 17.0]"": 120, ""[15.0, 15.0]"": 149, ""[15.0, 16.0]"": 9605, ""[15.0, 17.0]"": 16, ""[16.0, 16.0]"": 301553, ""[16.0, 17.0]"": 949, ""[17.0, 17.0]"": 2}"	"{""12.0"": 0.0, ""13.0"": 52815.12, ""14.0"": 68688.87, ""15.0"": 7622.02, ""16.0"": 482996.67, ""17.0"": 2015.38}"	"{""13.0"": 52545, ""14.0"": 68838, ""15.0"": 7145, ""16.0"": 484946, ""17.0"": 664}"	"{""[13.0, 13.0]"": 2178, ""[13.0, 14.0]"": 5813, ""[13.0, 15.0]"": 587, ""[13.0, 16.0]"": 41743, ""[13.0, 17.0]"": 46, ""[14.0, 14.0]"": 3828, ""[14.0, 15.0]"": 820, ""[14.0, 16.0]"": 54475, ""[14.0, 17.0]"": 74, ""[15.0, 15.0]"": 38, ""[15.0, 16.0]"": 5654, ""[15.0, 17.0]"": 8, ""[16.0, 16.0]"": 191270, ""[16.0, 17.0]"": 534, ""[17.0, 17.0]"": 1}"	0.10169133630962393	0.3564528754141483	1.011837015906189	0.2615172722979574	"{""12.0"": ""NaN"", ""13.0"": 0.99, ""14.0"": 0.99, ""15.0"": 0.95, ""16.0"": 0.99, ""17.0"": 0.72}"	3.28e-08	0.0006210108856210001	0.000876555733919898	0.0550986	False	NA	NA	False	NA	none	none	intergenic	untranscribed
1	1_149815804_151307876	150986460	150986473	150986460	STR_73386	1	T	13.0,14.0,15.0	14.0	"{""13.0"": 4950.99, ""14.0"": 892163.31, ""15.0"": 77703.77}"	"{""13.0"": 4698, ""14.0"": 892472, ""15.0"": 77648}"	"{""[13.0, 13.0]"": 11, ""[13.0, 14.0]"": 4364, ""[13.0, 15.0]"": 312, ""[14.0, 14.0]"": 408616, ""[14.0, 15.0]"": 70876, ""[15.0, 15.0]"": 3230}"	"{""13.0"": 3208.27, ""14.0"": 561970.17, ""15.0"": 48959.56}"	"{""13.0"": 3050, ""14.0"": 562153, ""15.0"": 48935}"	"{""[13.0, 13.0]"": 8, ""[13.0, 14.0]"": 2829, ""[13.0, 15.0]"": 205, ""[14.0, 14.0]"": 257257, ""[14.0, 15.0]"": 44810, ""[15.0, 15.0]"": 1960}"	0.005224021311171105	0.1557553741023187	0.445614202993181	0.9345571298380118	"{""13.0"": 0.94, ""14.0"": 0.99, ""15.0"": 1.0}"	3.28e-19	0.0034714298813460776	0.0013833117440756153	0.202929	False	NA	NA	False	NA	none	47728:downstream:RP11-316M1.12:lncRNA,8749:downstream:RNU6-884P:snRNA,33754:upstream:C1orf56:protein_coding,46400:upstream:MLLT11:protein_coding,97915:downstream:RPS29P29:processed_pseudogene,49240:downstream:SETDB1:protein_coding,38981:upstream:CERS2:protein_coding,38450:downstream:RP11-316M1.3:lncRNA,18350:downstream:ANXA9:protein_coding,5609:upstream:MINDY1:protein_coding,22324:upstream:BNIPL:protein_coding,36974:downstream:CDC42SE1:protein_coding,56581:upstream:GABPB2:protein_coding,0:inside:PRUNE1:protein_coding	intron:PRUNE1:protein_coding	transcribed;PRUNE1-209:processed_transcript:5,PRUNE1-201:protein_coding:1,PRUNE1-208:processed_transcript:5,PRUNE1-211:protein_coding:missing from gencode,PRUNE1-210:processed_transcript:3,PRUNE1-207:protein_coding:5,PRUNE1-205:protein_coding:1,PRUNE1-206:protein_coding:2,PRUNE1-204:protein_coding:1,PRUNE1-203:protein_coding:1
1	1_149815804_151307876	150994190	150994211	150994190	STR_73396	1	T	21.0,22.0,23.0	22.0	"{""21.0"": 77901.48, ""22.0"": 891901.02, ""23.0"": 5015.46}"	"{""21.0"": 77224, ""22.0"": 892778, ""23.0"": 4816}"	"{""[21.0, 21.0]"": 3181, ""[21.0, 22.0]"": 70555, ""[21.0, 23.0]"": 307, ""[22.0, 22.0]"": 408869, ""[22.0, 23.0]"": 4485, ""[23.0, 23.0]"": 12}"	"{""21.0"": 49220.48, ""22.0"": 561667.41, ""23.0"": 3250.11}"	"{""21.0"": 48788, ""22.0"": 562226, ""23.0"": 3124}"	"{""[21.0, 21.0]"": 1949, ""[21.0, 22.0]"": 44687, ""[21.0, 23.0]"": 203, ""[22.0, 22.0]"": 257317, ""[22.0, 23.0]"": 2905, ""[23.0, 23.0]"": 8}"	0.005292149321488005	0.1555746278117254	0.4456753890818807	0.9088301274994623	"{""21.0"": 0.99, ""22.0"": 0.99, ""23.0"": 0.95}"	6.71e-19	-0.0033947654880746893	-0.0013565029229645564	0.0860911	False	NA	NA	False	NA	none	55458:downstream:RP11-316M1.12:lncRNA,1011:downstream:RNU6-884P:snRNA,26016:upstream:C1orf56:protein_coding,38662:upstream:MLLT11:protein_coding,90177:downstream:RPS29P29:processed_pseudogene,56970:downstream:SETDB1:protein_coding,46711:upstream:CERS2:protein_coding,46180:downstream:RP11-316M1.3:lncRNA,26080:downstream:ANXA9:protein_coding,13339:upstream:MINDY1:protein_coding,14586:upstream:BNIPL:protein_coding,29236:downstream:CDC42SE1:protein_coding,48843:upstream:GABPB2:protein_coding,0:inside:PRUNE1:protein_coding	intron:PRUNE1:protein_coding	transcribed;PRUNE1-209:processed_transcript:5,PRUNE1-201:protein_coding:1,PRUNE1-208:processed_transcript:5,PRUNE1-211:protein_coding:missing from gencode,PRUNE1-210:processed_transcript:3,PRUNE1-207:protein_coding:5,PRUNE1-205:protein_coding:1,PRUNE1-206:protein_coding:2,PRUNE1-204:protein_coding:1,PRUNE1-203:protein_coding:1
1	1_200289292_200588931	200451423	200451433	200451423	STR_101040	1	A	10.0,11.0,12.0,13.0	11.0	"{""10.0"": 663.62, ""11.0"": 374538.39, ""12.0"": 599332.19, ""13.0"": 283.74}"	"{""10.0"": 82, ""11.0"": 375008, ""12.0"": 599571, ""13.0"": 157}"	"{""[10.0, 10.0]"": 2, ""[10.0, 11.0]"": 13, ""[10.0, 12.0]"": 65, ""[11.0, 11.0]"": 73530, ""[11.0, 12.0]"": 227873, ""[11.0, 13.0]"": 62, ""[12.0, 12.0]"": 185769, ""[12.0, 13.0]"": 95}"	"{""10.0"": 352.88, ""11.0"": 242248.88, ""12.0"": 371371.78, ""13.0"": 164.46}"	"{""10.0"": 3, ""11.0"": 242602, ""12.0"": 371440, ""13.0"": 93}"	"{""[10.0, 11.0]"": 1, ""[10.0, 12.0]"": 2, ""[11.0, 11.0]"": 48031, ""[11.0, 12.0]"": 146500, ""[11.0, 13.0]"": 39, ""[12.0, 12.0]"": 112442, ""[12.0, 13.0]"": 54}"	0.0008423839593055632	0.4781510463961553	0.9700879089547578	0.4080676871119631	"{""10.0"": 0.07, ""11.0"": 1.0, ""12.0"": 1.0, ""13.0"": 0.89}"	3.92e-11	0.0015936969482552854	0.0011058235422417987	0.143817	False	NA	NA	False	NA	797:downstream:200452230:200452732:RP11-121P12.1:lncRNA	0:inside:RP11-121P12.1:lncRNA,72239:upstream:ZNF281:protein_coding,3626:downstream:RP11-469A15.2:lncRNA,69192:downstream:KIF14:protein_coding,81590:upstream:LINC00862:lncRNA	intron:RP11-121P12.1:lncRNA	transcribed;RP11-121P12.1-001:lncRNA:4
1	1_217233453_217700665	217540414	217540427	217540414	STR_110701	1	T	11.0,12.0,13.0,14.0,15.0	14.0	"{""11.0"": 235.39, ""12.0"": 752850.88, ""13.0"": 21567.11, ""14.0"": 199954.61, ""15.0"": 210.09}"	"{""11.0"": 172, ""12.0"": 752881, ""13.0"": 21297, ""14.0"": 200374, ""15.0"": 94}"	"{""[11.0, 11.0]"": 4, ""[11.0, 12.0]"": 90, ""[11.0, 13.0]"": 4, ""[11.0, 14.0]"": 70, ""[12.0, 12.0]"": 291842, ""[12.0, 13.0]"": 16466, ""[12.0, 14.0]"": 152599, ""[12.0, 15.0]"": 42, ""[13.0, 13.0]"": 222, ""[13.0, 14.0]"": 4380, ""[13.0, 15.0]"": 3, ""[14.0, 14.0]"": 21638, ""[14.0, 15.0]"": 49}"	"{""11.0"": 11.22, ""12.0"": 478748.12, ""13.0"": 13636.25, ""14.0"": 121692.7, ""15.0"": 49.71}"	"{""11.0"": 4, ""12.0"": 478700, ""13.0"": 13556, ""14.0"": 121878}"	"{""[11.0, 12.0]"": 4, ""[12.0, 12.0]"": 186802, ""[12.0, 13.0]"": 10581, ""[12.0, 14.0]"": 94511, ""[13.0, 13.0]"": 141, ""[13.0, 14.0]"": 2693, ""[14.0, 14.0]"": 12337}"	0.022303098000775075	0.3525608439425708	0.8647390607039468	0.0749239309567907	"{""11.0"": 0.6, ""12.0"": 1.0, ""13.0"": 0.99, ""14.0"": 1.0, ""15.0"": ""NaN""}"	5.46e-09	-0.0007968694933891546	-0.0009017111820146232	0.0955068	False	NA	NA	False	NA	none	59907:downstream:GPATCH2:protein_coding	intergenic	untranscribed
1	1_219947430_220324852	220077844	220077869	220077841	STR_111990	1	A	26.0,27.0,29.0,30.0,31.0	26.0	"{""26.0"": 706200.37, ""27.0"": 12438.35, ""29.0"": 178746.79, ""30.0"": 77437.84, ""31.0"": 23.37}"	"{""26.0"": 711148, ""27.0"": 10628, ""29.0"": 178716, ""30.0"": 74324, ""31.0"": 2}"	"{""[26.0, 26.0]"": 259736, ""[26.0, 27.0]"": 7743, ""[26.0, 29.0]"": 130378, ""[26.0, 30.0]"": 53554, ""[26.0, 31.0]"": 1, ""[27.0, 27.0]"": 69, ""[27.0, 29.0]"": 1911, ""[27.0, 30.0]"": 836, ""[29.0, 29.0]"": 16479, ""[29.0, 30.0]"": 13468, ""[29.0, 31.0]"": 1, ""[30.0, 30.0]"": 3233}"	"{""26.0"": 449010.37, ""27.0"": 7662.58, ""29.0"": 112315.53, ""30.0"": 45157.96, ""31.0"": 8.78}"	"{""26.0"": 452428, ""27.0"": 6531, ""29.0"": 112332, ""30.0"": 42847}"	"{""[26.0, 26.0]"": 166554, ""[26.0, 27.0]"": 4855, ""[26.0, 29.0]"": 82735, ""[26.0, 30.0]"": 31730, ""[27.0, 27.0]"": 31, ""[27.0, 29.0]"": 1173, ""[27.0, 30.0]"": 441, ""[29.0, 29.0]"": 10285, ""[29.0, 30.0]"": 7854, ""[30.0, 30.0]"": 1411}"	0.08601949194537499	0.4188543155938011	1.1107700865882937	0.5328656041961977	"{""26.0"": 0.98, ""27.0"": 0.9, ""29.0"": 0.99, ""30.0"": 0.95, ""31.0"": ""NaN""}"	2.85e-12	-0.0005359129036253511	-0.0010992517240348122	0.0555916	False	NA	NA	False	NA	none	none	intergenic	untranscribed
2	2_37350976_37701852	37562188	37562203	37562182	STR_723602	1	A	13.0,14.0,15.0,16.0,17.0,20.0	16.0	"{""13.0"": 89.66, ""14.0"": 16679.17, ""15.0"": 510395.72, ""16.0"": 362868.15, ""17.0"": 84730.89, ""20.0"": 62.47}"	"{""13.0"": 69, ""14.0"": 15696, ""15.0"": 511669, ""16.0"": 363733, ""17.0"": 83633, ""20.0"": 18}"	"{""[13.0, 13.0]"": 1, ""[13.0, 14.0]"": 1, ""[13.0, 15.0]"": 39, ""[13.0, 16.0]"": 20, ""[13.0, 17.0]"": 7, ""[14.0, 14.0]"": 197, ""[14.0, 15.0]"": 8320, ""[14.0, 16.0]"": 5671, ""[14.0, 17.0]"": 1310, ""[15.0, 15.0]"": 134988, ""[15.0, 16.0]"": 189752, ""[15.0, 17.0]"": 43566, ""[15.0, 20.0]"": 16, ""[16.0, 16.0]"": 68396, ""[16.0, 17.0]"": 31498, ""[17.0, 17.0]"": 3626, ""[20.0, 20.0]"": 1}"	"{""13.0"": 25.97, ""14.0"": 9580.28, ""15.0"": 317000.83, ""16.0"": 233529.06, ""17.0"": 53999.88, ""20.0"": 7.27}"	"{""13.0"": 13, ""14.0"": 8957, ""15.0"": 317846, ""16.0"": 234081, ""17.0"": 53241}"	"{""[13.0, 14.0]"": 1, ""[13.0, 15.0]"": 9, ""[13.0, 16.0]"": 3, ""[14.0, 14.0]"": 65, ""[14.0, 15.0]"": 4634, ""[14.0, 16.0]"": 3413, ""[14.0, 17.0]"": 779, ""[15.0, 15.0]"": 82210, ""[15.0, 16.0]"": 121219, ""[15.0, 17.0]"": 27564, ""[16.0, 16.0]"": 44579, ""[16.0, 17.0]"": 20288, ""[17.0, 17.0]"": 2305}"	0.10358071322410767	0.5791374515639809	1.4173214299958066	0.7853771733582693	"{""13.0"": 0.7, ""14.0"": 0.96, ""15.0"": 0.99, ""16.0"": 0.99, ""17.0"": 0.99, ""20.0"": ""NaN""}"	1.85e-09	-0.001098670442103948	-0.0010491064641200416	0.344016	False	NA	NA	False	NA	none	none	intergenic	untranscribed
2	2_69319934_69859001	69550811	69550828	69550809	STR_742107	1	T	16.0,17.0,18.0,19.0	18.0	"{""16.0"": 204.83, ""17.0"": 584825.9, ""18.0"": 389787.29, ""19.0"": 0.0}"	"{""16.0"": 52, ""17.0"": 583803, ""18.0"": 390963}"	"{""[16.0, 17.0]"": 29, ""[16.0, 18.0]"": 23, ""[17.0, 17.0]"": 175553, ""[17.0, 18.0]"": 232668, ""[18.0, 18.0]"": 79136}"	"{""16.0"": 96.88, ""17.0"": 364384.27, ""18.0"": 249656.87, ""19.0"": 0.0}"	"{""16.0"": 8, ""17.0"": 363728, ""18.0"": 250402}"	"{""[16.0, 17.0]"": 2, ""[16.0, 18.0]"": 6, ""[17.0, 17.0]"": 107638, ""[17.0, 18.0]"": 148450, ""[18.0, 18.0]"": 50973}"	0.00015774955603627992	0.4829876316405882	0.9755130545919768	0.5955151299690689	"{""16.0"": 0.18, ""17.0"": 0.99, ""18.0"": 0.99, ""19.0"": ""NaN""}"	7.22e-11	-0.0016201422803575616	-0.0011260786143484716	0.0511088	False	NA	NA	False	NA	none	none	intergenic	untranscribed
