chrom_pos	phenotype	phenotype_association_p_value	expression_association_p_vals	expression_associations (tissue:target)	n_tests
chr10_126483088	creatinine	4.44e-19	1.02e-32, 8.33e-25, 1.17e-20, 1.76e-19, 1.12e-18, 6.22e-18, 1.62e-15, 1.5e-14, 5.27e-14, 1.64e-13, 1.6e-12, 1.13e-11, 1.16e-11, 5.79e-11, 9.94e-11, 1.21e-10, 1.56e-10, 1.63e-10, 2.03e-10, 2.18e-10, 1.61e-09, 2.85e-09, 4.21e-09, 3.1e-08, 3.93e-08, 7.46e-08, 1.75e-07, 4.33e-07, 5.25e-07, 5.99e-07, 8.38e-07, 2.33e-06, 4.3e-06, 1.41e-05, 3.45e-05, 9.94e-05	-:Thyroid:METTL10:ENSG00000203791.14, -:Cells_Culturedfibroblasts:METTL10:ENSG00000203791.14, -:Adipose_Subcutaneous:METTL10:ENSG00000203791.14, -:Adipose_Visceral_Omentum:METTL10:ENSG00000203791.14, -:Esophagus_Mucosa:METTL10:ENSG00000203791.14, -:Skin_SunExposed_Lowerleg:METTL10:ENSG00000203791.14, -:Lung:METTL10:ENSG00000203791.14, -:Artery_Tibial:METTL10:ENSG00000203791.14, -:Nerve_Tibial:METTL10:ENSG00000203791.14, -:Artery_Aorta:METTL10:ENSG00000203791.14, -:Colon_Transverse:METTL10:ENSG00000203791.14, -:Pituitary:METTL10:ENSG00000203791.14, -:AdrenalGland:METTL10:ENSG00000203791.14, -:Esophagus_GastroesophagealJunction:METTL10:ENSG00000203791.14, -:Brain_Caudate_basalganglia:METTL10:ENSG00000203791.14, -:Heart_LeftVentricle:METTL10:ENSG00000203791.14, -:Artery_Coronary:METTL10:ENSG00000203791.14, -:Skin_NotSunExposed_Suprapubic:METTL10:ENSG00000203791.14, +:Cells_Culturedfibroblasts:FAM53B:ENSG00000189319.13, -:Heart_AtrialAppendage:METTL10:ENSG00000203791.14, -:Esophagus_Muscularis:METTL10:ENSG00000203791.14, -:Brain_Hypothalamus:METTL10:ENSG00000203791.14, -:Muscle_Skeletal:METTL10:ENSG00000203791.14, -:Stomach:METTL10:ENSG00000203791.14, -:Brain_Putamen_basalganglia:METTL10:ENSG00000203791.14, -:Breast_MammaryTissue:METTL10:ENSG00000203791.14, -:Brain_Nucleusaccumbens_basalganglia:METTL10:ENSG00000203791.14, -:Brain_Hippocampus:METTL10:ENSG00000203791.14, -:Cells_EBV_transformedlymphocytes:METTL10:ENSG00000203791.14, -:Brain_Anteriorcingulatecortex_BA24:METTL10:ENSG00000203791.14, -:Pancreas:METTL10:ENSG00000203791.14, -:Brain_Cerebellum:METTL10:ENSG00000203791.14, -:Brain_Cortex:METTL10:ENSG00000203791.14, -:WholeBlood:METTL10:ENSG00000203791.14, -:Brain_FrontalCortex_BA9:METTL10:ENSG00000203791.14, -:Spleen:METTL10:ENSG00000203791.14	123
chr11_119077000	mean_sphered_cell_volume,platelet_count,platelet_crit	6.88e-16,3.77e-83,6.07e-103	9.77e-08, 5.71e-06, 9.45e-06, 5.94e-05, 0.000114	-:Cells_Culturedfibroblasts:CBL:ENSG00000110395.6, -:Colon_Transverse:CBL:ENSG00000110395.6, -:Heart_LeftVentricle:CBL:ENSG00000110395.6, +:Heart_AtrialAppendage:ABCG4:ENSG00000172350.9, -:Brain_Cerebellum:ABCG4:ENSG00000172350.9	259
chr14_64714051	haematocrit,haemoglobin_concentration,red_blood_cell_count	1.0e-26,1.1499999999999999e-24,3.2099999999999997e-24	1.06e-06, 1.59e-05, 0.000413	-:Muscle_Skeletal:ESR2:ENSG00000140009.18, -:Skin_NotSunExposed_Suprapubic:ESR2:ENSG00000140009.18, +:Heart_LeftVentricle:SYNE2:ENSG00000054654.16	53
chr15_50397064	mean_platelet_volume	4.26e-12	2.43e-07, 2.72e-05, 0.000704	-:Cells_Culturedfibroblasts:ATP8B4:ENSG00000104043.14, -:Esophagus_Mucosa:SLC27A2:ENSG00000140284.10, -:Brain_Nucleusaccumbens_basalganglia:SLC27A2:ENSG00000140284.10	58
chr15_51515456	neutrophil_count	1.87e-13	0.000813	+:WholeBlood:CYP19A1:ENSG00000137869.14	14
chr15_66018015	mean_corpuscular_haemoglobin	3.58e-147	6.16e-07	-:Cells_Culturedfibroblasts:SLC24A1:ENSG00000074621.13	39
chr15_67533379	eosinophil_count	2.16e-18	7.92e-05, 9.46e-05, 0.000101, 0.000209	-:Brain_Nucleusaccumbens_basalganglia:AAGAB:ENSG00000103591.12, -:Adipose_Subcutaneous:SMAD3:ENSG00000166949.15, -:Artery_Tibial:AAGAB:ENSG00000103591.12, +:Muscle_Skeletal:AAGAB:ENSG00000103591.12	78
chr1_150552235	mean_platelet_volume	2.65e-16	5.26e-27, 1.14e-19, 6.84e-15, 4e-10, 1.82e-08, 5.2e-07, 1.33e-05, 1.88e-05, 5.59e-05, 0.000109	+:Nerve_Tibial:GOLPH3L:ENSG00000143457.10, +:Skin_SunExposed_Lowerleg:GOLPH3L:ENSG00000143457.10, +:Skin_NotSunExposed_Suprapubic:GOLPH3L:ENSG00000143457.10, -:Esophagus_Mucosa:ADAMTSL4:ENSG00000143382.14, -:Skin_NotSunExposed_Suprapubic:ECM1:ENSG00000143369.14, -:Skin_SunExposed_Lowerleg:ECM1:ENSG00000143369.14, -:Artery_Tibial:ADAMTSL4:ENSG00000143382.14, +:Adipose_Subcutaneous:ADAMTSL4:ENSG00000143382.14, -:Artery_Tibial:GOLPH3L:ENSG00000143457.10, +:Esophagus_Mucosa:GOLPH3L:ENSG00000143457.10	204
chr1_204527033	platelet_crit	5.76e-17	0.000143, 0.00016	-:Thyroid:LRRN2:ENSG00000170382.11, +:Esophagus_Mucosa:PIK3C2B:ENSG00000133056.13	119
chr1_231037166	platelet_distribution_width	2.84e-11	1.83e-11, 2.06e-09, 8.82e-09, 3.57e-07, 2.45e-06, 4.17e-06, 1.58e-05, 1.81e-05, 4.13e-05, 5.69e-05, 8.37e-05, 0.000101, 0.000259	-:Colon_Transverse:ARV1:ENSG00000173409.13, -:Skin_NotSunExposed_Suprapubic:TTC13:ENSG00000143643.12, -:WholeBlood:TTC13:ENSG00000143643.12, -:Skin_SunExposed_Lowerleg:TTC13:ENSG00000143643.12, -:WholeBlood:ARV1:ENSG00000173409.13, -:Thyroid:TTC13:ENSG00000143643.12, -:Cells_EBV_transformedlymphocytes:ARV1:ENSG00000173409.13, -:Brain_FrontalCortex_BA9:ARV1:ENSG00000173409.13, -:Heart_LeftVentricle:C1orf198:ENSG00000119280.16, +:Cells_EBV_transformedlymphocytes:TTC13:ENSG00000143643.12, -:Colon_Transverse:TTC13:ENSG00000143643.12, -:Lung:ARV1:ENSG00000173409.13, -:Nerve_Tibial:ARV1:ENSG00000173409.13	143
