chrom	start	end	any_strs
1	2175557	2425557	False
1	2864543	3223846	True
1	3559954	3907115	True
1	11711317	12111621	True
1	20760618	21661911	True
1	23158187	24010498	True
1	24040186	24327662	True
1	25411052	25991838	True
1	26223049	27701488	True
1	29123487	29693592	True
1	37773424	38177445	True
1	39322216	40214945	True
1	43283279	43563399	True
1	44363466	44622249	True
1	45903377	46723903	True
1	47522977	48109143	True
1	51160461	51410461	True
1	62777874	63318972	True
1	63726551	64194495	True
1	65770130	66669849	True
1	67995075	68462493	True
1	92456612	93663949	True
1	109692192	109942192	True
1	114317339	114568899	True
1	114795097	115361794	True
1	115476902	115778802	True
1	118001621	118687623	True
1	150132933	150700754	True
1	153649683	154628342	True
1	158101465	158847643	False
1	197244435	197494435	True
1	198054069	199297082	True
1	203089555	203459321	True
1	203524423	203792409	True
1	204863183	205443321	True
1	206681424	207022727	True
1	209755216	210069408	True
1	211254222	211670094	True
1	214019858	214282049	True
1	225433208	225734884	True
1	225735958	226125766	True
1	226425554	226722434	True
1	229598364	229912928	True
1	234564712	234861928	True
1	235733929	235983929	True
1	241898898	242159263	False
1	247421069	248264773	True
1	249066706	249250621	True
2	8569233	8891872	True
2	20270711	20520711	True
2	23744571	24790113	True
2	26101676	26649726	True
2	43032797	43286180	True
2	43324385	44032630	True
2	53839506	54171646	True
2	55216308	55495519	True
2	58729601	59220800	True
2	60338848	60924180	True
2	61205217	62670523	True
2	64734378	65121057	True
2	65411289	65817831	True
2	71400698	71803520	True
2	85960811	86236688	True
2	86749752	87139113	True
2	100509475	100930273	True
2	102772739	103202161	True
2	110395956	110645956	True
2	111277871	112528910	True
2	113713102	113996159	True
2	152181035	152617324	True
2	160463197	161139060	True
2	161882841	162367709	True
2	174083416	174358064	True
2	181748634	181998634	True
2	182187272	182459684	True
2	196820065	197185126	True
2	211415507	211777980	True
2	231617711	231867711	False
2	236235379	236495869	True
2	238941389	239248082	True
3	12001498	12576117	True
3	16571317	17276126	True
3	19969566	20497799	True
3	24087381	24508641	True
3	25212483	25474434	True
3	37797913	38463219	True
3	46124135	46374135	True
3	47048621	47298621	False
3	48052829	50613067	True
3	50623696	51221887	True
3	66200074	66634355	True
3	67241908	67551281	True
3	71123393	71464355	True
3	87715870	88493414	True
3	100886010	101431098	True
3	121948421	122408095	True
3	128197617	129058209	True
3	131994691	132571322	True
3	132802950	134263776	True
3	140908481	142917815	True
3	169351988	169705157	True
3	171191960	171623332	True
3	176744498	177049301	True
3	178469927	179216094	True
3	183503855	184046254	True
3	185404653	185654653	True
3	195099371	196392148	True
3	196394878	196644878	True
4	6790861	7044832	True
4	15232629	15937877	True
4	38431328	39651641	True
4	54455436	55720933	True
4	57599652	57954484	True
4	68737809	68987809	True
4	69017601	69953037	True
4	77039337	77289337	True
4	79400716	79784218	True
4	87219911	88600923	True
4	90632272	90944961	True
4	100114319	100364319	True
4	100628130	101135429	True
4	103266275	103673216	True
4	105624895	106097376	True
4	122536021	123618252	True
4	128264652	129476847	False
4	144469291	145320183	True
4	145435166	146299921	True
5	876482	1481684	True
5	10555997	10805997	True
5	35949412	36305787	True
5	40546094	40934100	True
5	67417378	67750955	True
5	75871909	76198447	True
5	86648181	86898181	True
5	86942681	88373730	True
5	88563363	88813363	True
5	102029210	102811157	True
5	110925171	111197369	True
5	118466098	118747112	False
5	153866994	154574327	True
5	156255067	156565480	True
5	172067705	172343144	True
5	173117125	173596399	True
6	7819131	8099705	True
6	14942436	15799540	True
6	15995819	16513183	True
6	16516336	16766336	False
6	20554709	20826127	True
6	21588978	21931789	True
6	24038309	25124254	True
6	33791673	34506136	True
6	35603659	37743145	True
6	38252224	38502224	False
6	41343757	42324047	True
6	44045445	44349991	True
6	52492731	52768987	True
6	87655724	88223805	True
6	90683352	91140693	True
6	108751082	110382352	True
6	110609999	110901730	True
6	111011528	111261528	False
6	111273296	112069848	True
6	113252048	113637682	True
6	121112634	121405029	True
6	121574216	122018258	True
6	122678689	123018798	True
6	127425801	127826144	True
6	131015064	131557490	True
6	134606898	136348664	True
6	139540826	141358839	True
6	164259219	164656794	True
7	938261	1243713	True
7	5081038	5402942	True
7	5975869	6227728	True
7	17687739	17940625	True
7	18130704	18443874	True
7	21272405	21525801	True
7	27081467	27343419	True
7	32782344	33120525	True
7	39390850	39642735	True
7	43486969	43995113	True
7	44640132	45110846	True
7	47506956	47760567	True
7	50240729	51010877	True
7	69093337	69343337	True
7	72912366	73167085	True
7	80100688	80455299	True
7	91953393	92840600	True
7	98327939	101109673	True
7	123158949	123614319	True
7	124280676	124813163	True
7	129467275	129728129	True
7	135156703	135521117	True
7	148321377	148713783	True
7	149028834	149455571	False
