chrom	start	end
1	708248	1208248
1	1055929	1758823
1	1755740	2503864
1	6654565	7272885
1	7663029	8932318
1	9038512	9825712
1	9913666	10891803
1	10846422	11636625
1	13694236	14194236
1	16652661	17745311
1	18978615	19478615
1	19388090	20223920
1	20781983	21907162
1	21986816	22798819
1	23011834	23903041
1	24936151	25643004
1	25870070	27721887
1	30923948	31455796
1	31814903	33164257
1	33444714	34165751
1	36431373	37097766
1	37656803	38713504
1	40134042	41064528
1	41115202	42621414
1	43688801	44320691
1	45772442	46848273
1	47526938	48234438
1	50556455	52240581
1	52015969	53295848
1	53331972	53839801
1	53788536	54460899
1	54605551	55209294
1	55866232	56371180
1	56272571	57016830
1	62310229	62810229
1	64922350	65848245
1	67115034	67764591
1	71212320	72012203
1	77660075	79311593
1	85426959	86247286
1	86001836	87172161
1	88357307	88874841
1	88710005	89701864
1	91975773	94164322
1	96739155	97275910
1	102793882	104007081
1	109566863	110072166
1	112800985	113497563
1	118591141	120066255
1	119878778	120524455
1	144565659	145246854
1	146439932	147379581
1	148863215	149363215
1	149527383	151953257
1	154272394	154866450
1	154729973	155515446
1	155351849	156040992
1	155809392	156459026
1	170399277	171145370
1	171174830	173145439
1	173748915	174433758
1	175642612	177837709
1	180653384	181159061
1	182692202	183798643
1	183673643	184922098
1	199566032	200397649
1	203516395	204077266
1	205389611	206060947
1	211716168	212813919
1	214350783	214949159
1	217531558	218271662
1	218208058	219395424
1	219188022	220206597
1	220955860	221628399
1	222898387	223428026
1	224267064	224955709
1	225598979	226262577
1	226892699	228581783
1	230782459	231341252
1	234501563	235013265
1	235027746	235883224
1	243146079	244416235
2	0	555573
2	1379505	2004932
2	5580506	6084250
2	9297171	9948190
2	9839467	10656843
2	11117038	11735231
2	19246694	19913114
2	19792817	20867424
2	23619571	25861672
2	25651513	26413683
2	27130933	28877629
2	32475488	33099224
2	32917976	34098175
2	35329544	35829544
2	36363698	37141038
2	37667363	38559886
2	38708288	39208288
2	42121665	43193739
2	43196193	44100590
2	44064943	45342586
2	46387364	47533557
2	48280981	48780981
2	53856936	56641939
2	59865069	60505567
2	60454734	60984361
2	61232261	61736690
2	65497442	66035369
2	68104673	68750578
2	69048854	69652025
2	69443747	70808994
2	71085872	72627384
2	72837940	73337940
2	74462596	74962596
2	85487362	86140758
2	88529513	89408932
2	89250559	89809427
2	89588051	90699567
2	91430844	91978544
2	91810978	92555985
2	95079559	99431315
2	99779211	100279211
2	102845404	103427565
2	104877085	105401539
2	105234195	105757500
2	105619236	106269433
2	106437456	107081024
2	111621897	112196824
2	121325289	121898019
2	127763973	128390500
2	128591702	129312290
2	141288424	141835037
2	156339051	156878917
2	156803090	157459394
2	160913867	161453395
2	169369640	170001556
2	170340979	170845264
2	171493884	172877720
2	174473407	175137563
2	178072024	179243329
2	183441020	184172000
2	189661845	190161845
