chrom	start	end	any_strs
1	16245677	16496510	True
1	54607940	55002103	True
1	67236670	67648784	True
1	78522007	78772007	True
1	82785557	83087840	True
1	88875384	89576864	True
1	100683363	100943178	True
1	149656253	149906253	False
1	154662735	156331121	True
1	180780694	181030694	True
1	205291664	205667874	True
1	214019858	214305519	True
1	217396978	217700665	True
2	0	431838	True
2	9993424	10245985	True
2	12808992	13058992	True
2	15608023	15918014	True
2	20753105	21079876	True
2	27319676	28415091	True
2	73456755	74037650	True
2	79535750	79785750	True
2	85337602	85642386	True
2	113827743	114132839	True
2	120699615	121095271	True
2	121180771	121447038	False
2	121818450	122195412	True
2	135712906	135962906	True
2	136197676	136768555	True
2	148332312	148695945	True
2	159846684	160096684	True
2	176399570	177358379	True
2	196163136	196413136	True
2	211415507	211984753	True
2	219144729	219800067	True
3	11102421	11739342	True
3	24952259	25310448	True
3	46259204	46572972	True
3	64567798	64952988	True
3	66640436	66990963	True
3	68916187	69218391	True
3	79438987	79719835	True
3	121217834	121872182	True
3	135396809	136977664	True
3	153552273	154043793	True
3	160474837	161257632	True
3	168569893	169318383	True
3	187289642	187946336	True
3	193685750	193937809	True
3	195493534	195764157	True
4	18047771	18297771	False
4	23598208	23872377	True
4	39086329	39551325	True
4	40245368	40577630	True
4	77005934	77593196	True
4	99869405	100393190	True
4	103021890	103408117	True
4	103442348	104347582	True
4	124275195	124525195	True
4	144230290	144480290	True
5	63747	321199	True
5	423230	900780	True
5	34285998	34853722	True
5	39245073	41711606	True
5	41780430	43412677	True
5	53138428	53469318	True
5	71549855	72623020	True
5	90033645	90403563	True
5	158046352	158609777	True
5	176400029	176962504	True
6	1914044	2222654	True
6	2390969	2650609	True
6	9403135	9671871	True
6	24033542	24472624	True
6	39103662	39353662	True
6	42979071	43479431	True
6	50662459	51225773	True
6	52478948	52863427	True
6	56139727	56392493	True
6	90003138	90253138	True
6	107047979	107297979	False
6	107354492	107632680	True
6	127051550	127657807	True
6	133855619	134351147	True
6	154858792	155111664	True
6	166243450	166709582	True
7	492304	776356	True
7	1118731	1450227	True
7	8054782	8305559	True
7	17156007	17521746	True
7	26281471	26531485	True
7	27096227	27374379	True
7	46585331	46884217	True
7	50452675	51003411	True
7	72691787	73183017	True
7	76427745	76852093	True
7	76987367	77715681	True
7	90182290	90434987	True
7	92626998	92889489	True
7	101085687	101455957	True
7	151267009	151561642	True
8	23493463	24082563	True
8	30146637	30640660	True
8	66442648	66817011	True
8	66823383	67080437	True
8	81664921	81943348	True
8	127362733	127695688	True
9	15408394	16171489	True
9	33147391	33397391	True
9	71047306	71303822	True
9	112669967	112926971	True
9	136007908	136280000	True
10	738482	1190710	True
10	29055308	29401702	True
10	60139613	60499898	True
10	63660089	63950807	False
10	69458206	69905523	True
10	75667468	76604032	True
10	81215856	82343385	True
10	95884182	96164597	True
10	102552376	102849861	True
10	124940084	125190084	True
10	126191133	126817430	True
11	2008428	2316709	True
11	28387458	28637458	True
11	30511742	31034231	True
11	31061965	31311965	False
11	34409657	34706684	True
11	47120389	48078486	True
11	65255916	65804835	True
11	65910336	66160336	False
11	68693617	69369787	True
11	86504153	86775400	True
11	121446609	121786507	True
11	128581416	128866080	True
12	12081347	12335001	True
12	15195385	15477051	True
12	42415280	42995444	True
12	46669011	47557280	True
12	50107691	50402042	True
12	56709983	58101118	True
12	95905953	96161307	True
12	99615177	99904332	True
12	121255544	121609936	True
12	122378377	122755285	True
13	50955224	51221095	True
13	72205656	72526045	True
13	73588447	73842808	True
13	96008534	96334546	True
13	96636207	96886207	True
13	110951616	111242668	True
14	65734968	66374064	True
14	102737441	103122287	True
15	48375263	48625263	False
15	53737699	54134154	True
15	61062016	61320780	True
15	63244571	63750176	True
15	73995789	74245789	True
15	74336720	77997191	True
15	99123018	99445851	True
16	487566	848647	True
16	20225459	20546556	True
16	51563580	51915815	True
16	53033219	53500964	True
16	53675954	53953066	True
16	69408869	70048819	True
16	80848181	81173425	True
16	89408677	90273721	True
17	6986356	7491619	True
17	35919277	36313263	True
17	37351846	37862190	True
17	44048215	45427004	True
17	46434195	46884046	True
17	47198666	47577611	True
17	58773689	59434085	True
17	65422295	65707798	True
17	79583805	79897445	True
17	79919078	80333933	True
18	3514359	3765786	True
18	24206466	24577435	True
18	42551811	43580426	True
18	43640758	43890758	True
18	45515653	45823732	True
18	58733581	58998290	True
18	77025335	77295477	True
19	668232	944997	True
19	1045663	1295663	True
19	7207584	7458527	True
19	13095703	13345703	True
19	37379633	37631097	True
19	38036784	38581720	True
19	45267254	45553234	True
19	46020661	46561564	True
19	48958323	49459147	False
20	52562232	52915786	True
20	55162399	55412567	False
20	55650272	56125117	False
20	57327203	57599720	True
20	62279074	62529074	True
20	62809924	63025520	True
21	16420528	16707933	True
21	35134624	35481934	True
21	37632821	37985857	True
22	41396432	42359937	True
